domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
spreadsheets,basics,beginner,What is a cell in a spreadsheet?,"A cell is the single box where one row and one column meet, and it is identified by its column letter and row number.",,,,1,5,A whole row of data,The box where a row and a column meet,A saved copy of the file,A group of selected rows
spreadsheets,basics,beginner,What does the reference B4 point to?,"A reference names the column letter first and the row number second, so B4 is column B, row 4.","Letter first, number second.",,,0,5,"Column B, row 4","Row B, column 4","The fourth sheet, cell B",Columns B through 4
spreadsheets,basics,beginner,How does every formula in a spreadsheet begin?,A formula starts with an equals sign. Without it the cell is treated as plain text.,,,,2,5,With a plus sign,With a colon,With an equals sign,With the word FORMULA
spreadsheets,basics,beginner,"What is a worksheet, sometimes called a tab?","A worksheet is one grid of cells inside a workbook, and a workbook can hold many of them.",,,,3,5,A printed copy of the data,A single column of values,A saved chart,One grid of cells inside a workbook
spreadsheets,basics,beginner,What does the range reference A1:A5 describe?,"A colon defines a range covering every cell from the first reference to the second, here five cells in column A.",,,,0,5,"Cells A1, A2, A3, A4 and A5",Only cells A1 and A5,The result of A1 divided by A5,The five sheets named A1 to A5
spreadsheets,formulas,beginner,Which formula adds the values in cells A1 through A10?,SUM adds every number in the range it is given.,,,,1,5,=ADD(A1:A10),=SUM(A1:A10),=TOTAL(A1:A10),=PLUS(A1:A10)
spreadsheets,formulas,beginner,Which function returns the arithmetic mean of a range?,AVERAGE adds the numbers and divides by how many there are.,,,,2,5,=MEAN(B1:B9),=MID(B1:B9),=AVERAGE(B1:B9),=MEDIAN(B1:B9)
spreadsheets,formulas,beginner,Which function returns the largest value in a range?,MAX returns the highest number found in the range.,,,,0,5,=MAX(C1:C20),=TOP(C1:C20),=LARGEST(C1:C20),=HIGH(C1:C20)
spreadsheets,formulas,beginner,Which function returns the smallest value in a range?,MIN returns the lowest number found in the range.,,,,3,5,=LOW(C1:C20),=BOTTOM(C1:C20),=SMALLEST(C1:C20),=MIN(C1:C20)
spreadsheets,formulas,beginner,What does =COUNT(A1:A10) return?,"COUNT tallies only the cells holding numbers, ignoring text and empty cells.",,,,1,5,The sum of the numbers,How many cells contain numbers,How many cells are empty,How many cells contain anything at all
spreadsheets,formulas,beginner,What does =COUNTA(A1:A10) count that =COUNT(A1:A10) does not?,"COUNTA counts every non-empty cell, including text, while COUNT only counts numbers.",,,,0,5,Cells containing text,Cells containing formulas,Cells that are empty,Cells that are formatted in bold
spreadsheets,operators,beginner,Which symbol multiplies two values in a formula?,An asterisk is the multiplication operator in spreadsheet formulas.,,,,2,5,x,.,*,#
spreadsheets,operators,beginner,Which symbol divides one value by another in a formula?,A forward slash is the division operator.,,,,1,5,\,/,:,%
spreadsheets,operators,beginner,What does =A1^2 calculate?,"The caret raises a value to a power, so this squares whatever is in A1.",,,,0,5,The value of A1 squared,The value of A1 times 2,The square root of A1,The second character of A1
spreadsheets,operators,beginner,"In =(A1+A2)*3, what do the brackets change?","Brackets force the addition to happen first, so the sum is multiplied by 3 rather than only A2.",,,,3,5,"Nothing, they are decorative",They turn the result into text,They make the formula run faster,They make the addition happen before the multiplication
spreadsheets,references,beginner,What happens to =A1 when you copy the formula one row down?,"A plain reference is relative, so it shifts with the formula and becomes =A2.",,,,1,5,It stays as =A1,It becomes =A2,It becomes =B1,It shows an error
spreadsheets,references,beginner,What does the dollar sign do in a reference?,A dollar sign locks the part of the reference that follows it so it does not shift when the formula is copied.,,,,0,5,Locks the row or column so it does not shift when copied,Formats the result as currency,Marks the reference as pointing to another file,Turns the reference into text
spreadsheets,references,beginner,Which reference stays pointing at exactly the same cell wherever it is copied?,Locking both the column and the row makes the reference fully absolute.,,,,2,5,A1,A\$1,\$A\$1,\$A1
spreadsheets,formatting,beginner,What does formatting a cell as a percentage do to the stored value 0.25?,Formatting changes only the display. The value stays 0.25 but is shown as 25 percent.,,,,1,5,It changes the value to 25,It shows 25 percent while the value stays 0.25,It multiplies the value by 100 permanently,It converts the value to text
spreadsheets,formatting,beginner,Why might a cell show a row of hash marks instead of a number?,"The column is too narrow to display the value, so widening the column reveals it.",,,,3,5,The formula is invalid,The cell is locked,The value is negative,The column is too narrow to show the value
spreadsheets,formatting,beginner,What is the difference between deleting a row and hiding it?,"Deleting removes the data permanently, while hiding only stops it being displayed.",,,,0,5,"Deleting removes the data, hiding only stops it being shown",They do exactly the same thing,"Hiding removes the data, deleting only stops it being shown",Hiding works only on columns
spreadsheets,data,beginner,What does the fill handle do when you drag it down a column?,Dragging the small square at the corner of a selection copies the cell or extends its pattern into the cells below.,,,,2,5,Deletes the cells you drag over,Sorts the column,Copies the cell or continues its pattern,Locks the cells you drag over
