domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
management,org-structure,medium,A company flattening its hierarchy and empowering front-line teams represents a shift toward which type of structure?,Moving from tall hierarchies to flat structures reduces management layers widens spans of control and pushes authority closer to where work is done - consistent with decentralization and empowerment.,,,,2,15,Functional structure,Matrix structure,Flat decentralized structure,Divisional structure
management,strategy,medium,Using the BCG matrix a product with high relative market share in a low-growth market should be managed how?,Cash Cows should be managed to maximize cash generation with minimal investment. The surplus cash is used to fund Stars and Question Marks rather than reinvesting heavily in the mature market.,BCG,,,1,15,Divest the product immediately,Harvest cash flow with limited new investment,Invest heavily to grow market share,Reposition the product for a new market segment
management,strategy,medium,A firm that targets a narrow customer segment with either low cost or differentiation is using Porter's which strategy?,Porter's focus strategy concentrates resources on a specific niche market segment. Within that niche a firm can pursue either cost focus or differentiation focus depending on its strengths.,Porter,,,3,15,Cost leadership,Differentiation,Market development,Focus
management,motivation,medium,"A manager redesigns jobs to include more variety, autonomy, and direct feedback to improve motivation. Which theory best supports this action?",Hackman and Oldham's Job Characteristics Model identifies five core job dimensions - skill variety task identity task significance autonomy and feedback - that predict intrinsic motivation. Job redesign that enhances these boosts motivation.,,,,0,15,Job Characteristics Model,Maslow's Hierarchy of Needs,Vroom's Expectancy Theory,Adams' Equity Theory
management,motivation,medium,"An employee works hard because they believe effort will lead to good performance, good performance will lead to a bonus, and they value the bonus highly. Which theory explains this?","Vroom's Expectancy Theory holds that motivation = Expectancy x Instrumentality x Valence. All three links must hold: effort leads to performance (expectancy), performance leads to reward (instrumentality), and the reward is valued (valence).",Vroom,,,2,15,Herzberg's Two-Factor Theory,Adams' Equity Theory,Vroom's Expectancy Theory,McGregor's Theory X
management,motivation,medium,"Two employees do the same job. One feels their pay is fair compared to peers; the other feels underpaid. According to Adams' Equity Theory, what will the underpaid employee likely do?","Adams' Equity Theory predicts that employees who perceive an unfavorable comparison between their input-output ratio and a referent's ratio will take action to restore equity - such as reducing effort, seeking a raise, or leaving the organization.",Adams,,,1,15,Work harder to close the perceived gap,Reduce effort or seek to restore perceived fairness,Accept the situation without any behavior change,Publicly confront the better-paid colleague
management,leadership-styles,medium,Hersey and Blanchard's Situational Leadership model argues that no single leadership style is always effective. What does the model use to determine the appropriate style?,Situational Leadership uses follower readiness (a combination of competence and commitment for a specific task) to select among telling coaching supporting or delegating styles.,,,,3,15,The leader's personality and past experience,The size and age of the organization,The industry and competitive environment,The follower's competence and commitment for the task
management,leadership-styles,medium,"A newly appointed CEO changes a hierarchical firm into a flatter, vision-driven organization by inspiring employees and modeling new behaviors. This leadership style is best described as what?","Transformational leadership involves inspiring a new vision, modeling desired behaviors, and motivating employees to go beyond self-interest for the organizational good. It drives large-scale change in culture and structure.",,,2,15,Transactional,Autocratic,Transformational,Laissez-faire
management,decision-making,medium,"A management team relies heavily on the most recent economic data when forecasting sales, ignoring historical trends. This illustrates which cognitive bias?",Recency bias (a form of availability bias) causes decision-makers to overweight recent events and underweight older information. It can lead to overconfidence after a run of success or panic after a recent failure.,,,,0,15,Recency bias,Sunk cost fallacy,Groupthink,Confirmation bias
management,decision-making,medium,"A board refuses to exit a failing project because they have already invested $10 million in it. This decision error is called what?","The sunk cost fallacy occurs when past irrecoverable costs (sunk costs) unduly influence future decisions. Rational decision-making should consider only future costs and benefits, not money already spent.",,,3,15,Confirmation bias,Bounded rationality,Recency bias,Sunk cost fallacy
management,decision-making,medium,"A cross-functional team quickly agrees on a risky strategy without fully evaluating alternatives, and dissenting voices stay silent. This is best described as what?",Groupthink occurs when pressure to maintain group consensus suppresses critical evaluation of alternatives. Warning signs include illusion of invulnerability self-censorship and unanimous apparent agreement.,,,,2,15,Satisficing,Bounded rationality,Groupthink,Programmed decision-making
management,org-structure,medium,"A multinational organizes each country as a self-contained unit with its own marketing, operations, and finance teams. This is which organizational structure?",A geographic divisional structure groups activities by region. Each regional division operates semi-autonomously and can respond to local market conditions while the parent coordinates overall strategy.,,,,1,15,Functional structure,Geographic divisional structure,Matrix structure,Network structure
management,org-structure,medium,"In a matrix structure, an employee reports to both a marketing director and a project leader. What management principle does this violate, and what is the trade-off?","Matrix structures violate Fayol's unity of command (one boss per employee) in exchange for flexibility and cross-functional collaboration. The trade-off is potential role conflict and power struggles between functional and project managers.",Fayol,,,3,15,Scalar chain - the benefit is greater efficiency,Span of control - the benefit is faster communication,Division of labour - the benefit is higher specialization,Unity of command - the benefit is flexibility and collaboration
management,span-of-control,medium,"A firm is moving from teams of 6 to teams of 12, with one manager per team. What is the likely impact on the organization's structure?","Widening the span of control (from 6 to 12) means fewer managers are needed per employee, flattening the hierarchy, reducing management costs, and pushing decision-making downward. Employee autonomy typically increases.",,,0,15,"The hierarchy flattens, costs fall, and employee autonomy increases","The hierarchy becomes taller, and more managers are needed","Decision-making centralizes further at the top of the firm","Communication slows down because managers have fewer direct reports"
management,planning,medium,"A company sets its vision as 'to be the world's most trusted logistics provider by 2030', then derives strategic objectives from this. What is the correct planning hierarchy order?","Planning cascades from mission/vision (long-range) to strategic objectives, then to tactical (departmental) plans, and finally to operational (day-to-day) plans. Objectives at each level must align with those above.",,,2,15,"Operational plan, tactical plan, strategy, vision","Tactical plan, operational plan, strategic objective, vision","Vision, strategic objective, tactical plan, operational plan","Strategic objective, vision, operational plan, tactical plan"
management,planning,medium,"A company performs an environmental scan using PESTLE. An increase in interest rates would fall into which PESTLE category, and how might it affect strategic planning?","PESTLE stands for Political, Economic, Social, Technological, Legal, and Environmental. Rising interest rates are an Economic factor that increases borrowing costs, potentially delaying capital investment and expansion plans.",,,1,15,"Social factor, because it affects consumer confidence","Economic factor, because it raises borrowing costs and may delay investment","Political factor, because governments set interest rates","Legal factor, because lending regulations affect business finance"
management,strategy,medium,"A business sells the same product in its current market but increases advertising to grow its market share. Which Ansoff strategy is this?","Market penetration involves selling existing products to existing markets with greater intensity. It is the lowest-risk Ansoff strategy, using tactics like price cuts, increased promotion, or improved distribution.",Ansoff,,,3,15,Diversification,Product development,Market development,Market penetration
