domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
math,algebra,easy,"If $x + 13 = 17$, what is $x$?",$x=17-13=4$.,,,,2,10,3,1,4,11
math,algebra,easy,"If $x + 9 = 12$, what is $x$?",$x=12-9=3$.,,,,1,10,10,3,2,1
math,exponents,easy,What is $10^2$?,$10^2=100$.,,,,0,10,100,98,97,104
math,rounding,easy,Round 32 to the nearest ten.,32 rounds to 30.,,,,1,10,32,30,20,40
math,exponents,easy,What is $3^2$?,$3^2=9$.,,,,0,10,9,10,8,11
math,exponents,easy,What is $15^2$?,$15^2=225$.,,,,2,10,228,232,225,229
math,algebra,easy,"If $4x = 28$, what is $x$?",$x=28\div4=7$.,,,,3,10,12,10,4,7
math,rounding,easy,Round 33 to the nearest ten.,33 rounds to 30.,,,,1,10,33,30,40,20
math,algebra,easy,"If $9x = 54$, what is $x$?",$x=54\div9=6$.,,,,0,10,6,11,16,7
math,multiplication,easy,Which property of multiplication states that $a \times b = b \times a$?,The commutative property says the order of factors does not change the product. $8 \times 3 = 3 \times 8 = 24$.,,,,0,10,Commutative property,Associative property,Distributive property,Identity property
math,algebra,easy,"If $x + 6 = 7$, what is $x$?",$x=7-6=1$.,,,,3,10,2,11,4,1
math,algebra,easy,"If $x + 5 = 6$, what is $x$?",$x=6-5=1$.,,,,0,10,1,11,2,0
math,rounding,easy,Round 95 to the nearest ten.,95 rounds to 100.,,,,0,10,100,95,110,90
math,algebra,easy,"If $3x = 12$, what is $x$?",$x=12\div3=4$.,,,,1,10,11,4,2,7
math,rounding,easy,Round 17 to the nearest ten.,17 rounds to 20.,,,,1,10,10,20,30,17
math,exponents,easy,What is $11^2$?,$11^2=121$.,,,,3,10,118,111,120,121
math,rounding,easy,Round 73 to the nearest ten.,73 rounds to 70.,,,,0,10,70,60,80,73
math,algebra,easy,"If $8x = 96$, what is $x$?",$x=96\div8=12$.,,,,1,10,10,12,19,7
math,order of operations,easy,What is $6 + 8 \times 9$?,"Multiply first: $8\times9=72$, then $+6=78$.",,,,1,10,77,78,126,79
math,exponents,easy,What is $6^2$?,$6^2=36$.,,,,0,10,36,43,41,26
math,percentages,easy,What is $20\%$ of 70?,$20\%$ of 70 is 14.,,,,1,10,9,14,24,13
math,algebra,easy,"If $x + 8 = 26$, what is $x$?",$x=26-8=18$.,,,,1,10,19,18,8,13
math,exponents,easy,What is $4^2$?,$4^2=16$.,,,,0,10,16,17,11,14
math,exponents,easy,What is $12^2$?,$12^2=144$.,,,,0,10,144,145,148,151
math,exponents,easy,What is $14^2$?,$14^2=196$.,,,,3,10,201,186,203,196
math,algebra,easy,"If $x + 8 = 20$, what is $x$?",$x=20-8=12$.,,,,0,10,12,15,17,13
math,order of operations,easy,What is $5 + 7 \times 6$?,"Multiply first: $7\times6=42$, then $+5=47$.",,,,0,10,47,72,48,46
math,algebra,easy,"If $x + 5 = 22$, what is $x$?",$x=22-5=17$.,,,,2,10,19,14,17,18
math,order of operations,easy,What is $3 + 4 \times 4$?,"Multiply first: $4\times4=16$, then $+3=19$.",,,,2,10,28,20,19,18
math,algebra,easy,"If $5x = 25$, what is $x$?",$x=25\div5=5$.,,,,1,10,15,5,7,2
math,division,easy,What is the relationship between multiplication and division?,"Division is the inverse operation of multiplication. If $a \times b = c$ then $c \div b = a$.",,,,2,10,They are the same operation,Division always produces a larger result,Division is the inverse of multiplication,Division is only defined for even numbers
math,division,easy,Dividing any number by zero is...,Division by zero is undefined because no number times zero equals a non-zero value.,,,,1,10,Always zero,Undefined,Equal to the number itself,Equal to one
math,multiplication,easy,"A bookshelf has 7 shelves with 11 books each. How many books are on the bookshelf in total?",Total books = $7 \times 11 = 77$.,,,,3,10,70,74,80,77
math,multiplication,easy,A carton holds 12 eggs. How many eggs are in 2 full cartons?,2 cartons times 12 eggs per carton = $2 \times 12 = 24$ eggs.,,,,2,10,22,20,24,26
math,division,easy,Which of the following is a factor of 36?,"A factor divides a number evenly. $36 \div 6 = 6$ with no remainder, so 6 is a factor.",,,,1,10,5,6,7,8
math,division,easy,What is the result when any non-zero number is divided by itself?,"Any non-zero number divided by itself equals 1. For example, $16 \div 16 = 1$.",,,,0,10,1,0,2,The number itself
math,multiplication,easy,"A case of water has 7 rows of 12 bottles. How many bottles are in the case?",Total bottles = $7 \times 12 = 84$.,,,,2,10,80,82,84,86
math,division,easy,"A factory produces 48 units in 4 hours. What is the production rate per hour?",Rate = total units divided by hours = $48 \div 4 = 12$ units per hour.,,,,0,10,12 units per hour,16 units per hour,8 units per hour,10 units per hour
math,order of operations,easy,What is $1 + 7 \times 3$?,"Multiply first: $7\times3=21$, then $+1=22$.",,,,3,10,21,23,24,22
math,exponents,easy,"In the expression $x^n$, what does the exponent $n$ tell you?","The exponent tells you how many times to multiply the base by itself. $2^3 = 2 \times 2 \times 2 = 8$.",,,,3,10,How many times to add x to itself,The value of x,How many digits x has,How many times to multiply x by itself
math,algebra,easy,"If $x + 11 = 21$, what is $x$?",$x=21-11=10$.,,,,1,10,12,10,9,17
math,algebra,easy,"If $x + 20 = 39$, what is $x$?",$x=39-20=19$.,,,,3,10,22,17,24,19
math,division,easy,"If $28 \div 7 = 4$, which multiplication equation belongs to the same fact family?","Multiplication and division are inverse operations. If $28 \div 7 = 4$ then $7 \times 4 = 28$.",,,,2,10,$4+7=11$,$7+28=35$,$7 \times 4=28$,$28-7=21$
math,multiplication,easy,"A box contains 8 rows of 12 items each. How many items are in the box?",Total items = rows times items per row = $8 \times 12 = 96$.,,,,3,10,88,90,94,96
math,algebra,easy,"If $8x = 72$, what is $x$?",$x=72\div8=9$.,,,,3,10,6,12,7,9
math,rounding,easy,Round 74 to the nearest ten.,74 rounds to 70.,,,,1,10,74,70,60,80
math,percentages,easy,What is $25\%$ of 80?,$25\%$ of 80 is 20.,,,,1,10,24,20,30,27
