domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
finance,npv,medium,An investment costs \$500 today and returns \$200 at end of year 1 and \$400 at end of year 2. At a 10% discount rate what is the NPV?,PV1 = 200/1.10 = \$181.82. PV2 = 400/1.21 = \$330.58. Sum of PVs = \$512.40. NPV = 512.40 - 500 = \$12.40. Positive NPV means the investment adds value.,NPV = Sum(CF/(1+r)^t) - Initial Cost,true,,0,15,\$12.40,-\$12.40,\$112.40,-\$87.60
finance,npv,medium,A project costs \$1000 and pays \$350/year for 3 years. At a 6% discount rate is the NPV positive or negative?,PV1=350/1.06=\$330.19. PV2=350/1.1236=\$311.50. PV3=350/1.191=\$293.87. Total PV=\$935.56. NPV=935.56-1000=-\$64.44. Negative NPV - the project destroys value at 6%.,NPV = Sum(CF/(1+r)^t) - Cost,true,,1,15,Positive NPV of \$50,Negative NPV of about -\$64,Exactly \$0,Positive NPV of \$105
finance,time-value,medium,What is the present value of \$600 received in 3 years at a discount rate of 8%?,PV = FV / (1+r)^n = 600 / (1.08)^3 = 600 / 1.2597 = \$476.28. The further into the future and the higher the rate the lower the present value.,PV = FV / (1+r)^n,true,,2,15,\$555.56,\$514.50,\$476.28,\$432.00
finance,compound-interest,medium,You invest \$2000 at 12% annual compound interest. What is the value after 5 years?,FV = 2000 x (1.12)^5 = 2000 x 1.7623 = \$3524.68. Compound interest significantly grows wealth over time especially at higher rates.,FV = P x (1+r)^n,true,,3,15,\$3200.00,\$3360.00,\$3440.00,\$3524.68
finance,bonds,medium,A bond has face value \$1000 coupon rate 7% and matures in 3 years. If the discount rate is 9% what is the bond's price?,Annual coupon = \$70. PV of coupons: 70/1.09 + 70/1.1881 + 70/1.2950 = 64.22 + 58.91 + 54.05 = \$177.18. PV of face value = 1000/1.2950 = \$772.17. Price = 177.18 + 772.17 = \$949.35.,Price = Sum(C/(1+r)^t) + F/(1+r)^n,true,,0,15,\$949.35,\$1000.00,\$1070.00,\$921.20
finance,financial-ratios,medium,A company has EBIT of \$300000 interest expense of \$60000 and taxes of \$80000. What is the interest coverage ratio?,Interest coverage ratio = EBIT / Interest Expense = 300000 / 60000 = 5.0. A ratio of 5 means the company earns 5 times what it needs to cover its interest - a comfortable position.,Coverage = EBIT / Interest Expense,,,1,15,3.0,5.0,4.3,6.7
finance,irr,medium,A project costs \$1000 and pays \$600 at end of year 1 and \$600 at end of year 2. Which IRR is closest?,At IRR: 1000 = 600/(1+r) + 600/(1+r)^2. Testing r=13%: 600/1.13 + 600/1.277 = 530.97 + 469.85 = 1000.82 ~= 1000. IRR is approximately 13%.,Set NPV = 0 and solve for r,true,,2,15,8%,10%,13%,20%
finance,capital-structure,medium,A company has \$4M equity and \$6M debt. The cost of equity is 12% and after-tax cost of debt is 5%. What is the WACC?,Weight of equity = 4/10 = 0.40. Weight of debt = 6/10 = 0.60. WACC = (0.40 x 12%) + (0.60 x 5%) = 4.8% + 3.0% = 7.8%.,WACC = (E/V x Re) + (D/V x Rd),true,,3,15,6.5%,7.2%,8.4%,7.8%
finance,portfolio,medium,Stock A has expected return 10% and standard deviation 15%. Stock B has return 8% and std dev 10%. Correlation = 0. In a 50/50 portfolio what is the expected return?,Expected portfolio return = w_A x R_A + w_B x R_B = 0.5 x 10% + 0.5 x 8% = 5% + 4% = 9%. Portfolio variance benefits from diversification when correlation is low.,E(Rp) = w1xR1 + w2xR2,,,0,15,9%,10%,8.5%,18%
finance,financial-ratios,medium,Sales = \$2M COGS = \$1.2M operating expenses = \$400K interest = \$100K tax rate = 30%. What is net income?,Gross profit = 2M - 1.2M = \$800K. Operating income (EBIT) = 800K - 400K = \$400K. EBT = 400K - 100K = \$300K. Net income = 300K x (1 - 0.30) = \$210000.,,true,,1,15,\$280000,\$210000,\$240000,\$300000
