domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
economics,elasticity,medium,"If the price of a good rises from $10 to $12 and quantity demanded falls from 200 to 160 units, what is the price elasticity of demand using the midpoint method?",Midpoint PED = ((160-200)/180) / ((12-10)/11) = (-40/180) / (2/11) = -0.222 / 0.182 = -1.22. This is elastic.,Midpoint PED = (% change Q) / (% change P) using averages as base,,,,0,15,-1.22 (elastic),-0.82 (inelastic),-2.44 (elastic),-0.50 (inelastic)
economics,supply-demand,medium,A simultaneous increase in both supply and demand for a good will definitely result in:,When both supply and demand increase the equilibrium quantity rises because more is supplied and demanded. The price effect is ambiguous - it depends on the relative size of the shifts.,,,,,2,15,A higher equilibrium price and higher quantity,A lower equilibrium price and lower quantity,A higher equilibrium quantity with ambiguous price change,A lower equilibrium quantity with ambiguous price change
economics,production-costs,medium,"A firm has total fixed costs of $500 and produces 100 units with total variable costs of $300. What is the average total cost?",ATC = TC / Q = (500 + 300) / 100 = 800 / 100 = $8 per unit.,ATC = (TFC + TVC) / Q,,,,3,15,$3.00,$5.00,$3.50,$8.00
economics,fiscal-policy,medium,"If the marginal propensity to consume (MPC) is 0.8, what is the value of the fiscal multiplier?",The fiscal multiplier = 1 / (1 - MPC) = 1 / (1 - 0.8) = 1 / 0.2 = 5.,Multiplier = 1 / (1 - MPC),,,,1,15,0.8,5,4,1.25
economics,comparative-advantage,medium,"Country X can produce 20 tons of rice or 5 cars; Country Y can produce 15 tons of rice or 10 cars. Which country has comparative advantage in cars?",Country X opportunity cost per car = 20/5 = 4 tons of rice. Country Y opp. cost per car = 15/10 = 1.5 tons of rice. Y has lower opp. cost so Y has comparative advantage in cars.,Compare opportunity costs per unit,,,,2,15,Country X because it produces more rice,Country X because it produces fewer cars,Country Y because its opportunity cost per car is lower,Neither; they have equal comparative advantage
economics,monetary-policy,medium,The Fisher equation shows the relationship between nominal interest rates real interest rates and inflation. If the nominal rate is 7% and expected inflation is 3% what is the approximate real interest rate?,Fisher equation: real rate = nominal rate - inflation rate = 7% - 3% = 4%.,Real rate = Nominal rate - Inflation rate,,,,0,15,4%,10%,21%,2.33%
economics,market-structures,medium,A profit-maximizing monopolist produces where MR = MC. If at that output level the price is $50 and ATC is $30 what is the per-unit economic profit?,Economic profit per unit = Price - ATC = $50 - $30 = $20 per unit.,Profit per unit = P - ATC,,,,3,15,$80,$30,$50,$20
economics,gdp,medium,"Nominal GDP in Year 1 is $10 trillion and the GDP deflator is 125 (base year = 100). What is real GDP in Year 1?",Real GDP = (Nominal GDP / GDP Deflator) x 100 = (10 / 125) x 100 = $8 trillion.,Real GDP = (Nominal GDP / Deflator) x 100,,,,1,15,$12.5 trillion,$8 trillion,$10 trillion,$15 trillion
economics,elasticity,medium,"A firm raises its price by 5% and total revenue falls. This means the price elasticity of demand is:",When total revenue falls after a price increase demand is elastic (PED magnitude > 1) because the quantity drop outweighs the price gain.,TR falls after price rise means PED > 1 in magnitude,,,,2,15,Inelastic (|PED| < 1),Unit elastic (|PED| = 1),Elastic (|PED| > 1),Perfectly inelastic (|PED| = 0)
economics,consumer-theory,medium,When a consumer moves along an indifference curve from one bundle to another their:,An indifference curve shows combinations of goods giving equal utility. Moving along it keeps utility constant while the quantities of the two goods change.,,,,,0,15,Utility remains constant but the bundle changes,Income must have changed,Marginal utility of both goods stays constant,Budget line has shifted outward
economics,fiscal-policy,medium,"If the government has a budget deficit and chooses to finance it by borrowing (issuing bonds) this can crowd out private investment by:",When the government borrows heavily it competes with private borrowers for loanable funds driving up interest rates which discourages private investment - the crowding out effect.,,,,,3,15,Lowering the tax burden on firms,Increasing the money supply directly,Reducing consumer confidence immediately,Raising interest rates which reduces private investment
economics,monetary-policy,medium,Which of the following best describes the transmission mechanism from a central bank interest rate cut to GDP growth?,A rate cut lowers borrowing costs encouraging more investment and consumer spending which raises aggregate demand and ultimately increases real GDP.,,,,,1,15,Lower rates reduce inflation first then GDP falls,Lower rates encourage borrowing and spending raising aggregate demand and GDP,Lower rates cause currency appreciation reducing exports and GDP,Lower rates lead to higher saving reducing consumption and GDP
economics,market-structures,medium,"In monopolistic competition in the long run economic profit is driven to zero because:",Easy entry attracts new competitors in response to profits. Competition reduces each firm's demand until price equals ATC and economic profit is zero.,,,,,2,15,The government sets price equal to average cost,Firms collude to keep prices low,Free entry of new firms erodes profits until P = ATC,Consumers switch to substitute goods permanently
economics,supply-demand,medium,What happens in a market when the government imposes a binding price ceiling below the equilibrium price?,A binding price ceiling set below equilibrium keeps the price too low: quantity demanded exceeds quantity supplied creating a persistent shortage.,,,,,0,15,"A shortage arises because Qd > Qs at the ceiling price","A surplus arises because Qs > Qd at the ceiling price","The market adjusts to a new equilibrium at the ceiling","Both price and quantity rise above equilibrium"
economics,production-costs,medium,"A firm produces 50 units with total cost $1,000. When it produces 51 units total cost rises to $1,025. What is the marginal cost of the 51st unit?",Marginal cost = change in total cost / change in quantity = (1025 - 1000) / (51 - 50) = $25.,MC = change in TC / change in Q,,,,3,15,$1,025,$20,$50,$25
economics,gdp,medium,"If nominal GDP grows from $8 trillion to $9 trillion and the GDP deflator rises from 100 to 112.5, by approximately what percentage did real GDP grow?",Real GDP Year 1 = 8 trillion. Real GDP Year 2 = (9 / 112.5) x 100 = 8 trillion. Real GDP grew by 0%. All of nominal growth was due to inflation.,Real GDP = (Nominal / Deflator) x 100,,,,1,15,12.5%,0% - all growth was due to inflation,12% real growth,8% real growth
economics,externalities,medium,"A steel plant produces 100 tons of steel per day generating pollution that costs nearby residents $10 per ton. If the social optimum output is 80 tons per day an appropriate Pigouvian tax would be:",A Pigouvian tax should equal the marginal external cost per unit. The cost imposed on others is $10 per ton so a $10 per ton tax is needed to align private and social costs.,Pigouvian tax = marginal external cost,,,,2,15,$80 per day total,$100 per ton,$ 10 per ton,$20 per ton
economics,comparative-advantage,medium,"Country A has opportunity cost of 2 units of cloth per unit of wheat; Country B has opportunity cost of 3 units of cloth per unit of wheat. Which country has comparative advantage in wheat and what does this predict?",Country A gives up less cloth per wheat (2 vs. 3) so Country A has comparative advantage in wheat. Country B has comparative advantage in cloth.,Lower opportunity cost = comparative advantage,,,,0,15,"Country A has comparative advantage in wheat; trade benefits both nations","Country B has comparative advantage in wheat; it should export wheat","Neither country should specialize; self-sufficiency is optimal","Country A should produce both goods since it has lower opportunity cost in everything"
economics,macroeconomics,medium,If the economy is operating above its potential GDP output gap the most likely concern for policymakers is:,When actual output exceeds potential GDP resources are over-utilized. This creates upward wage and price pressures - the main risk is demand-pull inflation.,,,,,3,15,Rising structural unemployment,A collapse in consumer confidence,A rapid fall in the exchange rate,Demand-pull inflation as resource utilization exceeds capacity
economics,elasticity,medium,"A 10% increase in the price of coffee leads to a 15% increase in the quantity demanded of tea. What is the cross-price elasticity of demand and what does it indicate?",Cross-price elasticity = % change in Qd of Tea / % change in Price of Coffee = 15% / 10% = +1.5. Positive cross-price elasticity means the goods are substitutes.,Cross-price PED = % change Qd of Y / % change P of X,,,,1,15,"-1.5; the goods are complements","1.5; the goods are substitutes","0.67; the goods are complements","1.5; the goods are normal goods"
