domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
english,literary-devices,medium,Which sentence contains a simile?,"A simile compares two things using ""like"" or ""as."" ""brave as a lion"" is a simile.",,,,2,15,The wind whispered through the trees.,Time is a thief.,He was as brave as a lion.,The leaves danced in the breeze.
english,literary-devices,medium,Which sentence contains a metaphor?,"A metaphor states that one thing is another without ""like"" or ""as."" ""The world is a stage"" is a metaphor.",,,,0,15,The world is a stage.,She is as busy as a bee.,The fire crackled loudly.,He ran like the wind.
english,literary-devices,medium,"What literary device is in ""The wind whispered through the trees""?",Personification gives human qualities to non-human things. Wind cannot literally whisper.,,,,1,15,Simile,Personification,Hyperbole,Onomatopoeia
english,literary-devices,medium,"What literary device is ""Peter Piper picked a peck of pickled peppers""?",Alliteration is the repetition of the same beginning consonant sound in nearby words.,,,,3,15,Metaphor,Simile,Personification,Alliteration
english,literary-devices,medium,"What literary device is ""I've told you a million times""?",Hyperbole is deliberate exaggeration for emphasis. No one literally says something a million times.,,,,0,15,Hyperbole,Simile,Metaphor,Irony
english,literary-devices,medium,"What literary device is the word ""buzz"" imitating a sound?",Onomatopoeia is a word that imitates the natural sound it describes such as buzz hiss or bang.,,,,2,15,Alliteration,Metaphor,Onomatopoeia,Hyperbole
english,literary-devices,medium,What does symbolism do in literature?,Symbolism uses an object or image to represent a larger idea - for example a dove symbolizing peace.,,,,1,15,Repeats consonant sounds,Uses something to represent a bigger idea,Exaggerates for effect,Imitates a sound
english,clauses,medium,What is an independent clause?,An independent clause has a subject and verb and can stand alone as a complete sentence.,,,,0,15,A group of words that can stand alone as a sentence,A group of words missing a verb,A single descriptive word,A punctuation mark
english,clauses,medium,Which is a dependent (subordinate) clause?,"A dependent clause has a subject and verb but cannot stand alone. ""Because it was raining"" is incomplete.",,,,1,15,The sun was shining,Because it was raining,Birds fly south,She smiled
english,clauses,medium,"In ""When the bell rang, students left,"" which part is the dependent clause?","""When the bell rang"" cannot stand alone and depends on the rest of the sentence.",,,,0,15,When the bell rang,students left,the bell rang,students left the room
english,phrases,medium,What is a prepositional phrase?,"A prepositional phrase begins with a preposition and ends with a noun or pronoun such as ""under the table.""",,,,2,15,A complete sentence,A subject and verb,A group beginning with a preposition,A list of adjectives
english,sentence-structure,medium,What kind of sentence has two independent clauses joined by a conjunction?,A compound sentence joins two independent clauses with a coordinating conjunction (for and nor but or yet so).,,,,1,15,Simple sentence,Compound sentence,Complex sentence,Fragment
english,sentence-structure,medium,What kind of sentence has one independent clause and at least one dependent clause?,A complex sentence combines one independent clause with one or more dependent clauses.,,,,3,15,Simple sentence,Compound sentence,Run-on sentence,Complex sentence
english,sentence-structure,medium,Which is a run-on sentence?,"A run-on joins independent clauses with no proper punctuation or conjunction. ""I like tea I drink it daily"" is a run-on.",,,,0,15,I like tea I drink it daily,"I like tea, and I drink it daily.",I like tea.,Because I like tea I drink it daily.
english,sentence-structure,medium,Which is a sentence fragment?,"A fragment is missing a subject verb or complete thought. ""Running through the park"" is incomplete.",,,,2,15,The dog barked.,She ran home.,Running through the park.,They are happy.
english,active-passive,medium,Which sentence is in the passive voice?,"In the passive voice the subject receives the action. ""The ball was thrown by John"" is passive.",,,,1,15,John threw the ball.,The ball was thrown by John.,John is throwing the ball.,John throws the ball.
english,active-passive,medium,Which sentence is in the active voice?,"In the active voice the subject performs the action. ""The chef cooked the meal"" is active.",,,,0,15,The chef cooked the meal.,The meal was cooked by the chef.,The meal was being cooked.,The meal had been cooked.
english,confused-words,medium,"Choose the correct word: ""The medicine did not ___ him.""","""Affect"" is usually a verb meaning to influence. ""Effect"" is usually a noun. Here the verb ""affect"" is needed.",,,,0,15,affect,effect,affects',efect
english,confused-words,medium,"Choose the correct word: ""The new law had a positive ___.""","""Effect"" is a noun meaning a result. ""A positive effect"" is correct.",,,,1,15,affect,effect,affecting,affected
