domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
data_literacy,quality,medium,Which of these is an example of Data lineage?,a source-to-report trail is an example of Data lineage.,,,,2,15,weather affecting a sales study,a score 2 SDs above average,a source-to-report trail,age affecting both income and health
data_literacy,statistics,medium,Which of these is an example of Mean vs median?,median below mean in skewed pay is an example of Mean vs median.,,,,0,15,median below mean in skewed pay,the mean age of all citizens,spread of measurement errors,only surveying happy customers
data_literacy,statistics,medium,Which term means: the typical distance of values from the mean?,That describes Standard deviation.,,,,0,15,Standard deviation,Bias,Data lineage,Dependent variable
data_literacy,viz,medium,What best describes Cherry-picking?,Cherry-picking - showing only data that supports a conclusion.,,,,3,15,an unconsidered variable affecting the result,two different y-axes implying a false relationship,how many standard deviations a value is from the mean,showing only data that supports a conclusion
data_literacy,relationships,medium,Which term means: the variable measured as the outcome?,That describes Dependent variable.,,,,2,15,Dual-axis trap,Normal distribution,Dependent variable,Bimodal distribution
data_literacy,viz,medium,Which of these is an example of Dual-axis trap?,revenue and temperature overlaid is an example of Dual-axis trap.,,,,1,15,the 25th percentile,revenue and temperature overlaid,height and shoe size,daily versus yearly totals
data_literacy,relationships,medium,What best describes Causation?,Causation - one variable directly producing a change in another.,,,,3,15,a hidden factor influencing both variables studied,so many points overlap the pattern is hidden,combining detailed data into summary figures,one variable directly producing a change in another
data_literacy,quality,medium,Which term means: the accuracy and consistency of data over its life?,That describes Data integrity.,,,,2,15,Spurious correlation,Bimodal distribution,Data integrity,Dual-axis trap
data_literacy,relationships,medium,Which of these is an example of Spurious correlation?,ice-cream sales and drownings is an example of Spurious correlation.,,,,0,15,ice-cream sales and drownings,scaling scores to 0-1,a column's name and type,the 90th percentile of incomes
data_literacy,viz,medium,Which term means: two different y-axes implying a false relationship?,That describes Dual-axis trap.,,,,0,15,Dual-axis trap,Overplotting,Percentile,Metadata
data_literacy,viz,medium,Which term means: showing only data that supports a conclusion?,That describes Cherry-picking.,,,,1,15,Normalisation of scale,Cherry-picking,Spurious correlation,Quartile
data_literacy,quality,medium,Which of these is an example of Normalisation of scale?,scaling scores to 0-1 is an example of Normalisation of scale.,,,,3,15,plus or minus 3 percent,scores varying by about 10 points,a long right tail of incomes,scaling scores to 0-1
data_literacy,quality,medium,What best describes Data integrity?,Data integrity - the accuracy and consistency of data over its life.,,,,0,15,the accuracy and consistency of data over its life,the average across an entire population,the average squared distance of values from the mean,a symmetric bell-shaped distribution
data_literacy,statistics,medium,Which of these is an example of Standard deviation?,scores varying by about 10 points is an example of Standard deviation.,,,,1,15,age affecting both income and health,scores varying by about 10 points,the mean age of 200 surveyed,ice-cream sales and drownings
data_literacy,statistics,medium,Which term means: how many standard deviations a value is from the mean?,That describes Z-score.,,,,2,15,Variance,Normal distribution,Z-score,Data integrity
data_literacy,quality,medium,Which term means: combining detailed data into summary figures?,That describes Aggregation.,,,,1,15,Cherry-picking,Aggregation,Variance,Negative correlation
data_literacy,quality,medium,Which term means: rescaling values to a common range?,That describes Normalisation of scale.,,,,1,15,Random sample,Normalisation of scale,Bias,Z-score
data_literacy,statistics,medium,Which term means: the value below which a given percent of data falls?,That describes Percentile.,,,,0,15,Percentile,Lurking variable,Standard deviation,Skewness
data_literacy,statistics,medium,Which term means: the average across an entire population?,That describes Population mean.,,,,1,15,Bias,Population mean,Aggregation,Quartile
data_literacy,statistics,medium,Which of these is an example of Z-score?,a score 2 SDs above average is an example of Z-score.,,,,0,15,a score 2 SDs above average,records unchanged by errors,a source-to-report trail,the 25th percentile
data_literacy,statistics,medium,What best describes Sample mean?,Sample mean - the average computed from a sample.,,,,3,15,the average squared distance of values from the mean,the value below which a given percent of data falls,the level of detail captured in the data,the average computed from a sample
data_literacy,quality,medium,Which term means: data that describes other data?,That describes Metadata.,,,,1,15,Z-score,Metadata,Independent variable,Interquartile range
data_literacy,statistics,medium,Which term means: a symmetric bell-shaped distribution?,That describes Normal distribution.,,,,0,15,Normal distribution,Spurious correlation,Positive correlation,Chartjunk
data_literacy,relationships,medium,Which term means: a correlation with no real causal link?,That describes Spurious correlation.,,,,0,15,Spurious correlation,Negative correlation,Skewness,Data granularity
data_literacy,relationships,medium,What best describes Lurking variable?,Lurking variable - an unconsidered variable affecting the result.,,,,2,15,the accuracy and consistency of data over its life,the average squared distance of values from the mean,an unconsidered variable affecting the result,two variables rising together
data_literacy,statistics,medium,What best describes Z-score?,Z-score - how many standard deviations a value is from the mean.,,,,3,15,a value dividing sorted data into four equal parts,as one variable rises the other falls,the variable measured as the outcome,how many standard deviations a value is from the mean
data_literacy,statistics,medium,Which of these is an example of Variance?,spread of measurement errors is an example of Variance.,,,,1,15,scaling scores to 0-1,spread of measurement errors,the 90th percentile of incomes,"price up, demand down"
data_literacy,quality,medium,What best describes Bias?,Bias - a systematic error that skews results in one direction.,,,,3,15,rescaling values to a common range,a distribution with two peaks,one variable directly producing a change in another,a systematic error that skews results in one direction
data_literacy,viz,medium,Which term means: decorative elements that distract from the data?,That describes Chartjunk.,,,,3,15,Misleading axis,Interquartile range,Overplotting,Chartjunk
data_literacy,quality,medium,Which of these is an example of Data integrity?,records unchanged by errors is an example of Data integrity.,,,,2,15,ice-cream sales and drownings,a y-axis starting at 90 not 0,records unchanged by errors,the mean age of 200 surveyed
data_literacy,statistics,medium,What best describes Normal distribution?,Normal distribution - a symmetric bell-shaped distribution.,,,,2,15,the average across an entire population,an unconsidered variable affecting the result,a symmetric bell-shaped distribution,combining detailed data into summary figures
data_literacy,quality,medium,Which of these is an example of Metadata?,a column's name and type is an example of Metadata.,,,,2,15,Q3 minus Q1,the mean age of all citizens,a column's name and type,the mean age of 200 surveyed
data_literacy,quality,medium,Which term means: a systematic error that skews results in one direction?,That describes Bias.,,,,0,15,Bias,Bimodal distribution,Percentile,Margin of error
data_literacy,statistics,medium,Which term means: the average squared distance of values from the mean?,That describes Variance.,,,,3,15,Independent variable,Interquartile range,Misleading axis,Variance
data_literacy,relationships,medium,Which of these is an example of Lurking variable?,weather affecting a sales study is an example of Lurking variable.,,,,2,15,plotting only the good months,only surveying happy customers,weather affecting a sales study,revenue and temperature overlaid
data_literacy,relationships,medium,Which of these is an example of Causation?,heat causing ice to melt is an example of Causation.,,,,0,15,heat causing ice to melt,height and shoe size,the mean age of all citizens,the dose given in a trial
data_literacy,relationships,medium,Which term means: an unconsidered variable affecting the result?,That describes Lurking variable.,,,,2,15,Positive correlation,Data lineage,Lurking variable,Misleading axis
data_literacy,statistics,medium,What best describes Interquartile range?,Interquartile range - the spread of the middle 50% of the data.,,,,1,15,the average across an entire population,the spread of the middle 50% of the data,decorative elements that distract from the data,showing only data that supports a conclusion
data_literacy,quality,medium,What best describes Aggregation?,Aggregation - combining detailed data into summary figures.,,,,2,15,a systematic error that skews results in one direction,an unconsidered variable affecting the result,combining detailed data into summary figures,the range a sample estimate is expected to vary
data_literacy,quality,medium,Which term means: the level of detail captured in the data?,That describes Data granularity.,,,,1,15,Skewness,Data granularity,Lurking variable,Cherry-picking
data_literacy,quality,medium,What best describes Data lineage?,Data lineage - the record of where data came from and how it changed.,,,,3,15,the degree of asymmetry in a distribution,decorative elements that distract from the data,two variables rising together,the record of where data came from and how it changed
data_literacy,viz,medium,What best describes Overplotting?,Overplotting - so many points overlap the pattern is hidden.,,,,2,15,the variable that is changed or controlled,how many standard deviations a value is from the mean,so many points overlap the pattern is hidden,a correlation with no real causal link
data_literacy,statistics,medium,Which of these is an example of Sample mean?,the mean age of 200 surveyed is an example of Sample mean.,,,,2,15,scaling scores to 0-1,a score 2 SDs above average,the mean age of 200 surveyed,median below mean in skewed pay
data_literacy,statistics,medium,What best describes Variance?,Variance - the average squared distance of values from the mean.,,,,0,15,the average squared distance of values from the mean,an unconsidered variable affecting the result,a systematic error that skews results in one direction,one variable directly producing a change in another
data_literacy,viz,medium,Which term means: so many points overlap the pattern is hidden?,That describes Overplotting.,,,,2,15,Lurking variable,Sample mean,Overplotting,Standard deviation
data_literacy,relationships,medium,What best describes Confounding variable?,Confounding variable - a hidden factor influencing both variables studied.,,,,2,15,so many points overlap the pattern is hidden,an unconsidered variable affecting the result,a hidden factor influencing both variables studied,as one variable rises the other falls
data_literacy,statistics,medium,What best describes Random sample?,Random sample - a sample where each member has equal chance of selection.,,,,1,15,the spread of the middle 50% of the data,a sample where each member has equal chance of selection,the average across an entire population,comparing centre measures to judge skew
data_literacy,relationships,medium,What best describes Positive correlation?,Positive correlation - two variables rising together.,,,,1,15,the spread of the middle 50% of the data,two variables rising together,as one variable rises the other falls,data that describes other data
data_literacy,statistics,medium,Which term means: the spread of the middle 50% of the data?,That describes Interquartile range.,,,,3,15,Overplotting,Data granularity,Quartile,Interquartile range
data_literacy,statistics,medium,What best describes Population mean?,Population mean - the average across an entire population.,,,,2,15,the average squared distance of values from the mean,as one variable rises the other falls,the average across an entire population,the average computed from a sample
