domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
cybersecurity,authentication,easy,Why is an authenticator app generally safer than an SMS code?,"SMS can be intercepted or redirected by taking over the phone number, whereas an app code is generated on the device itself.",,,,1,10,App codes last longer before expiring,SMS can be redirected by taking over the phone number; app codes are generated on-device,SMS codes are shorter and easier to guess,Apps work without any network connection
cybersecurity,authentication,easy,What is SIM swapping?,"An attacker persuades the mobile operator to move the victims number to their own SIM, capturing SMS codes and password resets.",,,,0,10,Transferring a victims phone number to an attackers SIM to capture codes,Cloning a phone entirely,Swapping between two networks for a better signal,Replacing a SIM card that has expired
cybersecurity,authentication,easy,What advantage do hardware security keys have over one-time codes?,"A key checks the sites real domain before responding, so it cannot be used on a lookalike phishing site.",,,,2,10,They never need to be charged,They can be used on any number of accounts at once,"They verify the sites real domain, so they resist phishing",They store your passwords as well
cybersecurity,authentication,easy,What is single sign-on?,"One authentication grants access to many connected systems, which reduces password sprawl but concentrates risk in that one account.",,,,0,10,"One login granting access to many systems, concentrating both convenience and risk",Signing in once per day on each system,A single shared account for a whole team,A password that can only be used once
cybersecurity,passwords,easy,What is credential stuffing?,Attackers take username and password pairs leaked from one breach and try them automatically across many other sites.,,,,1,10,Filling a password field with as many characters as it accepts,Trying leaked username and password pairs automatically across many sites,Storing passwords in a browser,Padding a password with repeated characters
cybersecurity,passwords,easy,Why does a service store password hashes rather than the passwords themselves?,"A hash cannot practically be reversed, so a stolen database does not immediately hand over everyones password.",,,,0,10,"A hash cannot practically be reversed, limiting the damage of a stolen database",Hashes take less storage space,Hashes allow faster login,Hashes can be emailed safely to users
cybersecurity,passwords,easy,What is a salt in password storage?,"A salt is unique random data added before hashing, so identical passwords hash differently and precomputed tables are useless.",,,,2,10,A second password required for admin accounts,A timer that expires the password,Unique random data added before hashing so identical passwords differ,An encrypted copy of the password
cybersecurity,passwords,easy,Why are forced monthly password changes now discouraged?,"They push people toward predictable variations and writing passwords down, which weakens security overall.",,,,1,10,Because changing passwords is technically difficult,Because they push people toward predictable variations and written notes,Because passwords cannot be changed safely,Because they interfere with multi-factor authentication
cybersecurity,malware,easy,How does a worm differ from a virus?,"A worm spreads across networks by itself, whereas a virus needs a host file and user action to propagate.",,,,0,10,A worm spreads by itself; a virus needs a host file and user action,A worm only affects mobile phones,A virus spreads by itself; a worm needs a host file,They are two words for the same thing
cybersecurity,malware,easy,What is a keylogger?,"A keylogger records what you type, capturing passwords and messages as you enter them.",,,,3,10,Software that locks the keyboard,A tool for resetting forgotten passwords,A device that speeds up typing,"Software that records what you type, including passwords"
