domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
data_system,perf,easy,Which of these is an example of Index?,an index on email is an example of Index.,,,,1,10,a created_at timestamp,an index on email,a monthly-report procedure,no orphan orders
data_system,constraints,easy,Which of these is an example of Cascade delete?,deleting orders with a customer is an example of Cascade delete.,,,,2,10,students and courses,a created_at timestamp,deleting orders with a customer,"one customer, many orders"
data_system,constraints,easy,Which of these is an example of CHECK constraint?,age must be at least 0 is an example of CHECK constraint.,,,,3,10,CHAR(2) for a state code,a plan showing an index scan,a created_at timestamp,age must be at least 0
data_system,ops,easy,What best describes Bulk load?,Bulk load - inserting many rows at once for speed.,,,,2,10,a versioned change to the database schema,systems optimised for analytical queries,inserting many rows at once for speed,a saved query that acts like a virtual table
data_system,types,easy,What best describes TIMESTAMP?,TIMESTAMP - a column type holding a date and time.,,,,1,10,a primary key made of more than one column,a column type holding a date and time,the index built on the primary key,systems optimised for analytical queries
data_system,model,easy,Which of these is an example of One-to-one?,a user and their profile is an example of One-to-one.,,,,2,10,order.customer_id pointing to customers,a country ISO code,a user and their profile,a sales-analysis cube
data_system,kinds,easy,What best describes OLTP?,OLTP - systems optimised for many small transactions.,,,,1,10,a real-world thing represented as a table,systems optimised for many small transactions,a saved query that acts like a virtual table,a variable-length text column type
data_system,types,easy,Which term means: a column type holding a date and time?,That describes TIMESTAMP.,,,,3,10,VARCHAR,Data dictionary,Columnar database,TIMESTAMP
data_system,keys,easy,Which of these is an example of Foreign key?,order.customer_id pointing to customers is an example of Foreign key.,,,,1,10,MongoDB,order.customer_id pointing to customers,a customer places orders,VARCHAR(255) for a name
data_system,model,easy,Which of these is an example of Many-to-many?,students and courses is an example of Many-to-many.,,,,0,10,students and courses,a customer's birth date,a monthly-report procedure,a sensor reading
data_system,basics,easy,What best describes Trigger?,Trigger - code that runs automatically on a data change.,,,,0,10,code that runs automatically on a data change,copying data to other servers,deleting child rows when a parent is deleted,a store organising data by column for analytics
data_system,kinds,easy,Which of these is an example of OLTP?,an online checkout is an example of OLTP.,,,,1,10,an index on email,an online checkout,an active_customers view,deleting orders with a customer
data_system,model,easy,Which of these is an example of Entity?,a Customer entity is an example of Entity.,,,,0,10,a Customer entity,age must be at least 0,importing a million rows,logging every update
data_system,kinds,easy,What best describes OLAP?,OLAP - systems optimised for analytical queries.,,,,0,10,systems optimised for analytical queries,a store organising data by column for analytics,rows on both sides relating to many on the other,"a property of an entity, stored as a column"
data_system,basics,easy,Which term means: code that runs automatically on a data change?,That describes Trigger.,,,,3,10,Index,CHECK constraint,Document database,Trigger
data_system,keys,easy,Which term means: a primary key made of more than one column?,That describes Composite key.,,,,2,10,Key-value store,Columnar database,Composite key,Replication (basic)
data_system,keys,easy,Which of these is an example of Composite key?,"(order_id, line_no) is an example of Composite key.",,,,3,10,a read replica,a monthly-report procedure,a social network graph,"(order_id, line_no)"
data_system,types,easy,What best describes CHAR?,CHAR - a fixed-length text column type.,,,,2,10,rows on both sides relating to many on the other,the index built on the primary key,a fixed-length text column type,a store organising data by column for analytics
data_system,basics,easy,Which term means: saved SQL code that can be executed by name?,That describes Stored procedure.,,,,1,10,OLTP,Stored procedure,Query plan,Entity
data_system,ops,easy,What best describes Replication (basic)?,Replication (basic) - copying data to other servers.,,,,0,10,copying data to other servers,the index built on the primary key,an association between two entities,a saved query that acts like a virtual table
data_system,kinds,easy,What best describes Document database?,Document database - a NoSQL store keeping data as JSON-like documents.,,,,2,10,the steps the database takes to run a query,a column type holding a date and time,a NoSQL store keeping data as JSON-like documents,a variable-length text column type
data_system,model,easy,Which term means: one row relating to many rows in another table?,That describes One-to-many.,,,,3,10,Trigger,Stored procedure,Columnar database,One-to-many
data_system,kinds,easy,Which of these is an example of Graph database?,a social network graph is an example of Graph database.,,,,2,10,no orphan orders,age must be at least 0,a social network graph,a created_at timestamp
data_system,keys,easy,What best describes Foreign key?,Foreign key - a column referencing the primary key of another table.,,,,3,10,a store of nodes and relationships,code that runs automatically on a data change,systems optimised for analytical queries,a column referencing the primary key of another table
data_system,types,easy,Which term means: a variable-length text column type?,That describes VARCHAR.,,,,0,10,VARCHAR,Migration,Foreign key,Attribute
data_system,basics,easy,Which term means: a saved query that acts like a virtual table?,That describes View.,,,,2,10,Composite key,CHAR,View,Columnar database
data_system,ops,easy,Which of these is an example of Replication (basic)?,a read replica is an example of Replication (basic).,,,,0,10,a read replica,adding a new column,a customer places orders,no orphan orders
data_system,basics,easy,Which of these is an example of Data dictionary?,a catalogue of the schema is an example of Data dictionary.,,,,3,10,students and courses,a user and their profile,a customer's birth date,a catalogue of the schema
data_system,kinds,easy,Which of these is an example of Document database?,MongoDB is an example of Document database.,,,,0,10,MongoDB,no orphan orders,age must be at least 0,a customer's birth date
data_system,ops,easy,Which of these is an example of Connection pool?,a pool of 20 connections is an example of Connection pool.,,,,0,10,a pool of 20 connections,the clustered id index,"one customer, many orders",an index on email
data_system,model,easy,What best describes One-to-many?,One-to-many - one row relating to many rows in another table.,,,,2,10,"a property of an entity, stored as a column",inserting many rows at once for speed,one row relating to many rows in another table,reusing database connections for efficiency
data_system,kinds,easy,Which term means: a store organising data by column for analytics?,That describes Columnar database.,,,,1,10,FLOAT,Columnar database,OLTP,Data dictionary
data_system,keys,easy,Which term means: a key from real-world data?,That describes Natural key.,,,,3,10,Query plan,Index,Referential integrity,Natural key
data_system,model,easy,What best describes Many-to-many?,Many-to-many - rows on both sides relating to many on the other.,,,,1,10,a store mapping keys directly to values,rows on both sides relating to many on the other,systems optimised for many small transactions,a store organising data by column for analytics
data_system,kinds,easy,Which term means: systems optimised for analytical queries?,That describes OLAP.,,,,1,10,Document database,OLAP,Replication (basic),Entity
data_system,basics,easy,What best describes Stored procedure?,Stored procedure - saved SQL code that can be executed by name.,,,,0,10,saved SQL code that can be executed by name,systems optimised for many small transactions,a real-world thing represented as a table,"documentation of tables, columns and types"
data_system,keys,easy,Which of these is an example of Surrogate key?,an auto-generated id is an example of Surrogate key.,,,,2,10,adding a new column,no orphan orders,an auto-generated id,an index on email
data_system,keys,easy,Which of these is an example of Natural key?,a country ISO code is an example of Natural key.,,,,2,10,adding a new column,logging every update,a country ISO code,an active_customers view
data_system,perf,easy,What best describes Index?,Index - a structure that speeds up row lookups.,,,,1,10,an artificial key with no business meaning,a structure that speeds up row lookups,an association between two entities,a store of nodes and relationships
data_system,model,easy,Which term means: a real-world thing represented as a table?,That describes Entity.,,,,1,10,Connection pool,Entity,FLOAT,Surrogate key
data_system,model,easy,Which term means: rows on both sides relating to many on the other?,That describes Many-to-many.,,,,3,10,Columnar database,OLTP,Index,Many-to-many
data_system,types,easy,What best describes VARCHAR?,VARCHAR - a variable-length text column type.,,,,0,10,a variable-length text column type,one row relating to many rows in another table,each row relating to exactly one row in another table,a structure that speeds up row lookups
data_system,kinds,easy,Which term means: a NoSQL store keeping data as JSON-like documents?,That describes Document database.,,,,3,10,Surrogate key,One-to-many,Index,Document database
data_system,model,easy,What best describes Relationship?,Relationship - an association between two entities.,,,,3,10,a key from real-world data,saved SQL code that can be executed by name,a column type holding a date and time,an association between two entities
data_system,perf,easy,Which of these is an example of Query plan?,a plan showing an index scan is an example of Query plan.,,,,1,10,MongoDB,a plan showing an index scan,an auto-generated id,a customer's birth date
data_system,constraints,easy,Which term means: deleting child rows when a parent is deleted?,That describes Cascade delete.,,,,3,10,Bulk load,Query plan,Data dictionary,Cascade delete
data_system,constraints,easy,What best describes CHECK constraint?,CHECK constraint - a rule requiring values to satisfy a condition.,,,,0,10,a rule requiring values to satisfy a condition,a versioned change to the database schema,one row relating to many rows in another table,a NoSQL store keeping data as JSON-like documents
data_system,ops,easy,Which term means: copying data to other servers?,That describes Replication (basic).,,,,3,10,Natural key,Connection pool,CHECK constraint,Replication (basic)
data_system,keys,easy,What best describes Surrogate key?,Surrogate key - an artificial key with no business meaning.,,,,1,10,a store of nodes and relationships,an artificial key with no business meaning,a NoSQL store keeping data as JSON-like documents,"a property of an entity, stored as a column"
data_system,kinds,easy,Which of these is an example of OLAP?,a sales-analysis cube is an example of OLAP.,,,,2,10,a pool of 20 connections,no orphan orders,a sales-analysis cube,VARCHAR(255) for a name
data_system,types,easy,What best describes FLOAT?,FLOAT - a column type for approximate decimal numbers.,,,,2,10,a store of nodes and relationships,the index built on the primary key,a column type for approximate decimal numbers,a store mapping keys directly to values
data_system,model,easy,Which of these is an example of Attribute?,a customer's birth date is an example of Attribute.,,,,3,10,a monthly-report procedure,an active_customers view,an online checkout,a customer's birth date
data_system,constraints,easy,What best describes Cascade delete?,Cascade delete - deleting child rows when a parent is deleted.,,,,3,10,the index built on the primary key,a rule requiring values to satisfy a condition,rows on both sides relating to many on the other,deleting child rows when a parent is deleted
data_system,kinds,easy,What best describes Key-value store?,Key-value store - a store mapping keys directly to values.,,,,2,10,systems optimised for analytical queries,saved SQL code that can be executed by name,a store mapping keys directly to values,a store organising data by column for analytics
data_system,model,easy,What best describes Attribute?,"Attribute - a property of an entity, stored as a column.",,,,1,10,a versioned change to the database schema,"a property of an entity, stored as a column",copying data to other servers,a primary key made of more than one column
data_system,ops,easy,What best describes Migration?,Migration - a versioned change to the database schema.,,,,3,10,one row relating to many rows in another table,an association between two entities,a store organising data by column for analytics,a versioned change to the database schema
data_system,ops,easy,What best describes Connection pool?,Connection pool - reusing database connections for efficiency.,,,,2,10,systems optimised for many small transactions,a real-world thing represented as a table,reusing database connections for efficiency,a structure that speeds up row lookups
data_system,kinds,easy,Which term means: systems optimised for many small transactions?,That describes OLTP.,,,,3,10,Relationship,VARCHAR,Primary index,OLTP
data_system,basics,easy,Which of these is an example of Trigger?,logging every update is an example of Trigger.,,,,0,10,logging every update,a created_at timestamp,an auto-generated id,a monthly-report procedure
data_system,kinds,easy,Which of these is an example of Key-value store?,Redis is an example of Key-value store.,,,,2,10,a sensor reading,the clustered id index,Redis,a pool of 20 connections
data_system,perf,easy,What best describes Query plan?,Query plan - the steps the database takes to run a query.,,,,2,10,saved SQL code that can be executed by name,systems optimised for analytical queries,the steps the database takes to run a query,a column type holding a date and time
data_system,types,easy,Which of these is an example of VARCHAR?,VARCHAR(255) for a name is an example of VARCHAR.,,,,3,10,age must be at least 0,a plan showing an index scan,a sensor reading,VARCHAR(255) for a name
data_system,basics,easy,Which of these is an example of View?,an active_customers view is an example of View.,,,,2,10,CHAR(2) for a state code,adding a new column,an active_customers view,"(order_id, line_no)"
data_system,model,easy,"Which term means: a property of an entity, stored as a column?",That describes Attribute.,,,,3,10,View,Query plan,Key-value store,Attribute
data_system,perf,easy,Which term means: the steps the database takes to run a query?,That describes Query plan.,,,,1,10,Natural key,Query plan,TIMESTAMP,CHAR
data_system,kinds,easy,Which term means: a store of nodes and relationships?,That describes Graph database.,,,,0,10,Graph database,Key-value store,Attribute,Index
data_system,perf,easy,What best describes Primary index?,Primary index - the index built on the primary key.,,,,0,10,the index built on the primary key,a column type for approximate decimal numbers,a store of nodes and relationships,systems optimised for many small transactions
data_system,keys,easy,What best describes Composite key?,Composite key - a primary key made of more than one column.,,,,3,10,rows on both sides relating to many on the other,a store of nodes and relationships,"a property of an entity, stored as a column",a primary key made of more than one column
data_system,constraints,easy,Which term means: foreign keys always pointing to existing rows?,That describes Referential integrity.,,,,2,10,CHAR,Trigger,Referential integrity,TIMESTAMP
data_system,types,easy,Which term means: a fixed-length text column type?,That describes CHAR.,,,,0,10,CHAR,View,Graph database,Relationship
data_system,model,easy,Which term means: an association between two entities?,That describes Relationship.,,,,1,10,Key-value store,Relationship,Composite key,Stored procedure
data_system,ops,easy,Which term means: a versioned change to the database schema?,That describes Migration.,,,,0,10,Migration,Connection pool,View,Foreign key
data_system,types,easy,Which of these is an example of CHAR?,CHAR(2) for a state code is an example of CHAR.,,,,3,10,the clustered id index,no orphan orders,a country ISO code,CHAR(2) for a state code
data_system,ops,easy,Which of these is an example of Migration?,adding a new column is an example of Migration.,,,,0,10,adding a new column,a customer's birth date,"(order_id, line_no)",a Customer entity
data_system,ops,easy,Which term means: inserting many rows at once for speed?,That describes Bulk load.,,,,1,10,Graph database,Bulk load,FLOAT,Surrogate key
data_system,model,easy,What best describes One-to-one?,One-to-one - each row relating to exactly one row in another table.,,,,1,10,foreign keys always pointing to existing rows,each row relating to exactly one row in another table,reusing database connections for efficiency,a rule requiring values to satisfy a condition
data_system,basics,easy,Which of these is an example of Stored procedure?,a monthly-report procedure is an example of Stored procedure.,,,,1,10,a country ISO code,a monthly-report procedure,no orphan orders,"(order_id, line_no)"
data_system,model,easy,Which term means: each row relating to exactly one row in another table?,That describes One-to-one.,,,,1,10,Cascade delete,One-to-one,OLTP,TIMESTAMP
data_system,perf,easy,Which of these is an example of Primary index?,the clustered id index is an example of Primary index.,,,,3,10,a pool of 20 connections,a catalogue of the schema,Redis,the clustered id index
data_system,keys,easy,What best describes Natural key?,Natural key - a key from real-world data.,,,,3,10,a rule requiring values to satisfy a condition,a real-world thing represented as a table,rows on both sides relating to many on the other,a key from real-world data
data_system,constraints,easy,Which of these is an example of Referential integrity?,no orphan orders is an example of Referential integrity.,,,,1,10,an active_customers view,no orphan orders,a country ISO code,importing a million rows
data_system,kinds,easy,Which term means: a store mapping keys directly to values?,That describes Key-value store.,,,,2,10,VARCHAR,Bulk load,Key-value store,Natural key
data_system,kinds,easy,What best describes Columnar database?,Columnar database - a store organising data by column for analytics.,,,,1,10,foreign keys always pointing to existing rows,a store organising data by column for analytics,a versioned change to the database schema,a store mapping keys directly to values
data_system,constraints,easy,What best describes Referential integrity?,Referential integrity - foreign keys always pointing to existing rows.,,,,3,10,the index built on the primary key,a saved query that acts like a virtual table,a store organising data by column for analytics,foreign keys always pointing to existing rows
data_system,basics,easy,What best describes Data dictionary?,"Data dictionary - documentation of tables, columns and types.",,,,2,10,a key from real-world data,reusing database connections for efficiency,"documentation of tables, columns and types",deleting child rows when a parent is deleted
data_system,constraints,easy,Which term means: a rule requiring values to satisfy a condition?,That describes CHECK constraint.,,,,3,10,Stored procedure,Data dictionary,Attribute,CHECK constraint
data_system,ops,easy,Which term means: reusing database connections for efficiency?,That describes Connection pool.,,,,0,10,Connection pool,Natural key,Graph database,Entity
data_system,perf,easy,Which term means: the index built on the primary key?,That describes Primary index.,,,,3,10,View,Cascade delete,Trigger,Primary index
data_system,model,easy,Which of these is an example of One-to-many?,"one customer, many orders is an example of One-to-many.",,,,2,10,a social network graph,"(order_id, line_no)","one customer, many orders",VARCHAR(255) for a name
data_system,ops,easy,Which of these is an example of Bulk load?,importing a million rows is an example of Bulk load.,,,,0,10,importing a million rows,a monthly-report procedure,"(order_id, line_no)",VARCHAR(255) for a name
