domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
management,leadership-styles,easy,A manager who makes all decisions alone and rarely consults the team is demonstrating which leadership style?,Autocratic leadership involves the leader retaining all decision-making authority. It can be effective in crises but tends to reduce employee morale and creativity over time.,,,,2,10,Democratic,Laissez-faire,Autocratic,Servant
management,leadership-styles,easy,A project leader who sets goals then steps back and lets experts work independently is using which style?,Laissez-faire leadership suits highly skilled autonomous teams. The leader trusts subordinates to manage their own work with minimal interference.,,,,3,10,Autocratic,Transactional,Democratic,Laissez-faire
management,leadership-styles,easy,Which leadership style is most appropriate when team members are highly skilled and self-motivated?,Laissez-faire (hands-off) style works best with expert self-motivated teams that need little direction. It would fail with inexperienced employees who need guidance.,,,,1,10,Autocratic,Laissez-faire,Transactional,Bureaucratic
management,leadership-styles,easy,A leader who focuses on personal charisma and inspiring followers to pursue a collective vision is called what?,Transformational leaders use vision charisma and inspiration to motivate followers to exceed expectations and embrace organizational change.,,,,0,10,Transformational,Transactional,Autocratic,Servant
management,leadership-styles,easy,Situational leadership theory suggests a leader should adjust their style based on what?,Situational leadership (Hersey and Blanchard) argues that the best leadership style depends on the readiness and competence level of the follower for a specific task.,,,,3,10,The size of the organization,The leader's personal preferences,The industry type,The follower's readiness and competence
management,motivation,easy,Which motivation theory distinguishes between hygiene factors and motivators?,Herzberg's Two-Factor Theory separates factors that prevent dissatisfaction (hygiene) from those that actively motivate (motivators) such as achievement and recognition.,Herzberg,,,2,10,Maslow's Hierarchy of Needs,McGregor's Theory X and Y,Herzberg's Two-Factor Theory,Vroom's Expectancy Theory
management,motivation,easy,According to Herzberg which of the following is a motivator rather than a hygiene factor?,In Herzberg's model motivators are intrinsic job factors like achievement recognition and responsibility. Salary working conditions and company policy are hygiene factors.,Herzberg,,,1,10,Salary,Achievement and recognition,Working conditions,Job security
management,motivation,easy,Vroom's Expectancy Theory states that motivation depends on which three elements?,"Vroom proposed that motivation = Expectancy (effort leads to performance) x Instrumentality (performance leads to reward) x Valence (the reward is valued). All three must be present.",Vroom,,,3,10,"Goals, Resources, and Feedback","Needs, Drives, and Incentives","Hygiene factors, Motivators, and Equity","Expectancy, Instrumentality, and Valence"
management,motivation,easy,A worker who feels underpaid compared to a colleague doing the same job will be demotivated according to which theory?,Adams' Equity Theory states that employees compare their input-output ratio to others. Perceived inequity causes dissatisfaction and reduced motivation.,Adams,,,0,10,Adams' Equity Theory,Maslow's Hierarchy of Needs,Herzberg's Two-Factor Theory,McGregor's Theory X
management,motivation,easy,Theory Y managers are most likely to use which management approach?,Theory Y managers believe employees are self-motivated and creative so they empower employees delegate authority and use participative management.,,,,2,10,Close supervision and strict rules,Punishment for poor performance,Empowerment and participative management,Centralized control and standardized tasks
