domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
economics,supply-demand,easy,If the price of a good rises what happens to the quantity demanded according to the law of demand?,The law of demand states that price and quantity demanded move in opposite directions. A price rise reduces quantity demanded.,,,,1,10,Quantity demanded rises,Quantity demanded falls,Quantity demanded stays the same,Demand shifts right
economics,supply-demand,easy,What causes a rightward shift in the demand curve?,A demand curve shifts right when consumers are willing to buy more at every price. Higher income for a normal good causes this.,,,,2,10,A rise in the good's own price,A fall in consumer income for a normal good,An increase in consumer income for a normal good,A decrease in production costs
economics,elasticity,easy,A good with price elasticity of demand equal to -2 is best described as:,An elasticity magnitude greater than 1 means quantity demanded changes by a larger percentage than price - this is elastic demand.,,,,0,10,Elastic demand,Inelastic demand,Unit elastic demand,Perfectly inelastic demand
economics,opportunity-cost,easy,A student can either attend college earning \$50000 more per year in future wages or work immediately at \$30000 per year. What is the opportunity cost of attending college?,The opportunity cost is the best alternative given up. Working immediately at \$30000 per year is what the student foregoes.,,,,3,10,\$50000 in future earnings,\$20000 the wage gap,The tuition fees paid,\$30000 in immediate wages forgone
economics,gdp,easy,Which expenditure component of GDP is typically the largest in the United States?,Consumer spending (C) is consistently the largest component of GDP in the US typically accounting for about two-thirds of total output.,,,,1,10,Government spending (G),Consumer spending (C),Net exports (NX),Investment (I)
economics,inflation,easy,If the CPI rises from 100 to 108 what is the inflation rate?,Inflation rate = (new CPI - old CPI) / old CPI x 100 = (108 - 100) / 100 x 100 = 8%.,Inflation = ((new - old) / old) x 100,,,2,10,4%,6%,8%,10%
economics,market-structures,easy,In perfect competition each firm is a:,In a perfectly competitive market no single firm can influence the market price. Each firm takes the market price as given and is a price taker.,,,,0,10,Price taker,Price maker,Price leader,Monopolist
economics,fiscal-policy,easy,An increase in government spending with no change in taxes is an example of:,Expansionary fiscal policy involves increasing government spending or cutting taxes (or both) to stimulate economic activity.,,,,3,10,Contractionary fiscal policy,Tight monetary policy,Neutral fiscal stance,Expansionary fiscal policy
economics,monetary-policy,easy,When the central bank raises interest rates what is the likely effect on investment spending?,Higher interest rates make borrowing more expensive so businesses reduce investment spending on new capital.,,,,1,10,Investment spending rises,Investment spending falls,Investment spending is unaffected,Government spending rises
economics,comparative-advantage,easy,Country A can produce 10 cars or 20 tons of wheat. Country B can produce 5 cars or 15 tons of wheat. What is Country A's opportunity cost of one car?,To produce 1 car Country A gives up 20 / 10 = 2 tons of wheat. Country B gives up 15 / 5 = 3 tons per car. A has comparative advantage in cars.,Opp. cost of 1 car = wheat / cars,,,0,10,2 tons of wheat,3 tons of wheat,5 tons of wheat,10 tons of wheat
economics,supply-demand,easy,What happens to the equilibrium price when supply decreases and demand stays constant?,A decrease in supply shifts the supply curve left. With unchanged demand this raises the equilibrium price.,,,,2,10,The equilibrium price falls,The equilibrium quantity rises,The equilibrium price rises,Both price and quantity rise
