domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
python,strings,easy,"What does ""hello world"".split() return?",split() with no argument breaks a string on whitespace and returns a list of the pieces.,,,,0,10,"[""hello"", ""world""]","""hello world""","[""helloworld""]","[""h"", ""e"", ""l"", ""l"", ""o""]"
python,strings,easy,"What does ""-"".join([""a"", ""b"", ""c""]) return?","join() glues the items of a list together, placing the string it was called on between each pair.",The separator is the string join() is called on.,,,2,10,"[""a-b-c""]","""abc""","""a-b-c""","""-a-b-c"""
python,strings,easy,"What does ""  spaces  "".strip() return?",strip() removes whitespace from both ends of a string but leaves the inside untouched.,,,,1,10,"""spaces  ""","""spaces""","""  spaces""","""spaces"" with no change"
python,strings,easy,"What does ""banana"".replace(""a"", ""o"") return?","replace() swaps every occurrence by default, so all three a characters become o.",,,,3,10,"""bonana""","""banana""","""bonona""","""bonono"""
python,strings,easy,"What does ""hello"".find(""l"") return?",find() returns the index of the first match. The first l in hello sits at index 2.,Remember that indexing starts at 0.,,,0,10,2,3,1,-1
python,strings,easy,"What does an f-string such as f""Age: {age}"" do?",An f-string inserts the current value of each expression written in braces directly into the text.,,,,1,10,Prints the literal text Age: {age},Inserts the value of age into the text,Creates a template that must be filled in later,Converts age to a float
python,slicing,easy,"What does ""python""[1:4] return?","A slice starts at the first index and stops just before the second, so characters 1, 2 and 3 are taken: ""yth"".",A slice includes the start and excludes the end.,,,2,10,"""pyth""","""ytho""","""yth""","""ython"""
python,slicing,easy,"What does [10, 20, 30, 40][:2] return?","Leaving the start blank means ""from the beginning"", so this takes the first two items.",,,,0,10,"[10, 20]","[20, 30]","[10, 20, 30]","[30, 40]"
python,slicing,easy,"What does [1, 2, 3, 4, 5][::2] return?","The third slice value is the step. A step of 2 takes every second item, starting from the first.",,,,3,10,"[2, 4]","[1, 2]","[4, 5]","[1, 3, 5]"
python,slicing,easy,"What does ""abcdef""[::-1] return?","A step of -1 walks the string backwards, which reverses it.",,,,1,10,"""abcdef""","""fedcba""","""f""",An error
python,lists,easy,"What does [1, 2] + [3, 4] evaluate to?",Adding two lists concatenates them into one longer list rather than adding the numbers.,,,,2,10,"[4, 6]","[[1, 2], [3, 4]]","[1, 2, 3, 4]",An error
python,lists,easy,What is the difference between append() and extend() on a list?,"append() adds its argument as one single item, while extend() adds each item of an iterable separately.",,,,0,10,"append() adds one item, extend() adds each item of an iterable","append() adds each item, extend() adds one item",They behave identically,extend() only works on strings
python,lists,easy,"What does [5, 3, 1].sort() return?",sort() rearranges the list in place and returns None. Use sorted() when you want a new list back.,One of sort() and sorted() returns a value; the other changes the list itself.,,,1,10,"[1, 3, 5]",None,"[5, 3, 1]",An error
python,lists,easy,Which method removes and returns the last item of a list?,pop() with no argument removes the final item and hands it back to you.,,,,3,10,remove(),delete(),discard(),pop()
python,lists,easy,"What does [1, 2, 3].index(3) return?",index() returns the position of the first matching item. The value 3 sits at index 2.,,,,2,10,3,1,2,True
python,lists,easy,What does the count() method of a list do?,count() reports how many times a given value appears in the list.,,,,0,10,Returns how many times a value appears,Returns the length of the list,Counts the unique values,Adds one to every number in the list
python,dicts,easy,What does the keys() method of a dictionary give you?,"keys() gives a view of every key in the dictionary, without their values.",,,,1,10,All the values,All the keys,Key and value pairs,The number of entries
python,dicts,easy,"How do you add a new entry ""city"": ""Oslo"" to a dictionary named d?",Assigning to a key that does not exist yet creates it.,,,,0,10,"d[""city""] = ""Oslo""","d.add(""city"", ""Oslo"")","d.append(""city"", ""Oslo"")","d[""city""] == ""Oslo"""
python,dicts,easy,"What does d.get(""missing"") return when the key is not in the dictionary?","get() returns None instead of raising an error, which makes it safer than square-bracket access.",,,,2,10,An error,An empty string,None,False
python,dicts,easy,"What happens if you write d[""missing""] for a key that is not in the dictionary?",Square-bracket access on an absent key raises a KeyError.,,,,3,10,It returns None,It creates the key with value None,It returns an empty string,It raises a KeyError
python,dicts,easy,What does the items() method of a dictionary return?,"items() yields each entry as a key and value pair, which is why it is convenient in for loops.",,,,0,10,Key and value pairs,Only the keys,Only the values,The dictionary length
python,dicts,easy,Can a Python dictionary contain the same key twice?,Keys are unique. Assigning to an existing key replaces the old value rather than adding a second entry.,,,,1,10,"Yes, values are then stored in a list","No, assigning again replaces the value","Yes, but only for string keys","Yes, and both are kept in order"
python,loops,easy,"What numbers does range(2, 6) produce?","range starts at the first number and stops before the second, giving 2, 3, 4 and 5.",The end value is excluded.,,,2,10,"2, 3, 4, 5, 6","1, 2, 3, 4, 5","2, 3, 4, 5","2, 6"
python,loops,easy,"What numbers does range(0, 10, 3) produce?","The third argument is the step, so the sequence advances by 3 each time: 0, 3, 6, 9.",,,,0,10,"0, 3, 6, 9","0, 3, 6, 9, 12","3, 6, 9","0, 1, 2, 3"
python,loops,easy,What does enumerate() give you when looping over a list?,"enumerate() yields the index alongside the item, so you do not need a separate counter.",,,,1,10,The items in reverse order,The index and the item together,Only the indexes,The items sorted
python,loops,easy,"What does zip([1, 2], [""a"", ""b""]) let you do?","zip() pairs items from several sequences position by position, so you can walk them together.",,,,3,10,Compress the lists to save memory,Join the lists end to end,Sort both lists at once,Loop over both lists in step
python,loops,easy,When does the else block of a for loop run?,A for/else block runs its else only when the loop finished normally without hitting a break.,,,,0,10,When the loop finished without break,When the list was empty,Every time the loop ends,When the loop raised an error
python,functions,easy,"What does def greet(name=""friend"") define?","A default value makes the parameter optional. Calling greet() with no argument uses ""friend"".",,,,2,10,A function that must always be given a name,A function that returns the text friend,A function whose name argument is optional,A function that only accepts the value friend
python,functions,easy,What does a function return if it has no return statement?,A function without a return statement hands back None.,,,,1,10,0,None,An empty string,It raises an error
python,functions,easy,What is a docstring?,"A docstring is a string literal placed as the first statement in a function, class or module to describe it.",,,,0,10,A string at the start of a function describing what it does,A comment beginning with ##,A special type of variable name,A file listing all functions in a project
python,functions,easy,"In the call area(width=3, height=4), what are width and height called?","Naming the parameters at the call site makes them keyword arguments, which can be given in any order.",,,,3,10,Default arguments,Positional arguments,Global variables,Keyword arguments
python,booleans,easy,Which of these values is treated as False in a condition?,"Empty containers, empty strings, 0 and None are all falsy. A string containing ""0"" is not empty, so it is truthy.","Emptiness, not content, decides truthiness.",,,2,10,"""False"" as text","""0"" as text",An empty list,The number 1
python,booleans,easy,"What does bool("""") evaluate to?","An empty string is falsy, so bool("""") is False. Any non-empty string is True.",,,,1,10,True,False,None,An error
python,booleans,easy,What does 5 > 3 and 2 > 4 evaluate to?,"The first comparison is True but the second is False, and and needs both sides to be True.",,,,0,10,False,True,An error,None
python,conversion,easy,"What does float(""3.5"") return?",float() parses a string that looks like a number and returns it as a floating-point value.,,,,3,10,"The text ""3.5""",An error,3,3.5
python,conversion,easy,What does int(9.8) return?,"Converting a float to an int truncates towards zero, dropping the decimal part rather than rounding.",int() does not round.,,,0,10,9,10,9.8,An error
python,conversion,easy,"What does list(""abc"") return?","list() breaks any iterable into its items, and a string iterates character by character.",,,,2,10,"[""abc""]",An error,"[""a"", ""b"", ""c""]","[97, 98, 99]"
python,errors,easy,"What kind of error is raised by int(""hello"")?","The text is not a valid number, so Python raises a ValueError: the type is right but the value is not.",,,,1,10,TypeError,ValueError,SyntaxError,NameError
python,errors,easy,What kind of error is raised by using a variable that was never assigned?,Python raises a NameError when a name cannot be found anywhere in scope.,,,,0,10,NameError,ValueError,KeyError,IndexError
python,errors,easy,"What kind of error is raised by [1, 2, 3][5]?",Asking for a position beyond the end of a list raises an IndexError.,,,,3,10,KeyError,ValueError,TypeError,IndexError
python,errors,easy,What is the purpose of a try block?,A try block lets you attempt code that might fail and handle the failure in an except block instead of crashing.,,,,2,10,To repeat code until it works,To test whether code is fast enough,To run code that might raise an error and handle it,To ignore all errors in a program
python,errors,easy,"What does ""1"" + 1 raise in Python?","Python will not silently mix a string with a number, so it raises a TypeError.",,,,0,10,TypeError,ValueError,It returns 2,"It returns ""11"""
python,modules,easy,What does import math do?,"It loads the math module so its contents can be used through the math name, such as math.sqrt.",,,,1,10,Copies every math function into your file directly,Makes the math module available as math,Runs all the code in your file through math,Installs the math package from the internet
python,modules,easy,What does from math import sqrt do?,"It brings only sqrt into the current namespace, so you call it as sqrt() with no math prefix.",,,,3,10,Imports every name from math,Imports math but renames it sqrt,Creates a new module called sqrt,"Imports only sqrt, usable without the math prefix"
python,sets,easy,What makes a set different from a list?,A set holds only unique items and does not preserve a meaningful order.,,,,0,10,A set holds only unique items and is unordered,A set can only hold numbers,A set cannot be changed once created,A set is always sorted
python,sets,easy,"What does set([1, 2, 2, 3]) return?","Building a set removes duplicates, leaving {1, 2, 3}.",,,,2,10,"[1, 2, 2, 3]","[1, 2, 3]","{1, 2, 3}","{1, 2, 2, 3}"
python,operators,easy,What is the difference between == and is?,"== asks whether two values are equal, while is asks whether they are the very same object in memory.",,,,1,10,They are interchangeable,"== compares values, is compares object identity","== compares identity, is compares values",is only works on numbers
python,operators,easy,What does the += operator do in count += 1?,It is shorthand for count = count + 1.,,,,0,10,Adds 1 to count and stores the result back in count,Compares count with 1,Creates a new variable named count1,Adds 1 only if count is positive
python,formatting,easy,"Why is print(""a"", ""b"") different from print(""a"" + ""b"")?","print() joins several arguments with a space by default, whereas + concatenates with nothing between.",,,,2,10,They produce identical output,The first raises an error,"The first prints a b with a space, the second prints ab",The second prints a b with a space
python,scope,easy,Where can a variable created inside a function be used?,A variable assigned inside a function is local to that call and disappears when the function returns.,,,,3,10,Anywhere in the program,In any function defined afterwards,Only in functions in the same file,Only inside that function
