domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
data_query,concurrency,expert,Which of these is an example of Isolation level?,READ COMMITTED vs SERIALIZABLE is an example of Isolation level.,,,,2,30,joining a CTE to itself,MVCC-based reads,READ COMMITTED vs SERIALIZABLE,EXCLUDE CURRENT ROW
data_query,optimization,expert,Which term means: applying filters as early as possible?,That describes Predicate pushdown.,,,,1,30,Adaptive plan,Predicate pushdown,Index selectivity,SELECT FOR UPDATE
data_query,advanced,expert,What best describes Array operations?,Array operations - querying and unnesting array columns.,,,,3,30,the optimiser's predicted work for a plan,the concrete operator tree run for a query,the sequence in which tables are joined,querying and unnesting array columns
data_query,optimization,expert,What best describes Hash join?,Hash join - joining by building a hash table on one side.,,,,2,30,referencing a CTE multiple times in a query,the sequence in which tables are joined,joining by building a hash table on one side,an index over only rows meeting a condition
data_query,optimization,expert,Which of these is an example of Statistics?,histograms on a column is an example of Statistics.,,,,1,30,reading only this year's data,histograms on a column,joining a CTE to itself,a large sort spilling
data_query,execution,expert,Which of these is an example of Spill to disk?,a large sort spilling is an example of Spill to disk.,,,,3,30,reading only this year's data,FOR UPDATE SKIP LOCKED,estimated rows and cost,a large sort spilling
data_query,execution,expert,Which term means: a plan that changes during execution?,That describes Adaptive plan.,,,,0,30,Adaptive plan,Cost estimate,SELECT FOR UPDATE,Advisory lock
data_query,advanced,expert,Which of these is an example of Full-text search?,matching a search phrase is an example of Full-text search.,,,,1,30,MVCC-based reads,matching a search phrase,EXCLUDE CURRENT ROW,a large sort spilling
data_query,optimization,expert,Which of these is an example of Plan cache?,a cached prepared statement is an example of Plan cache.,,,,0,30,a cached prepared statement,columnar batch execution,reading only this year's data,joining a CTE to itself
data_query,advanced,expert,Which of these is an example of Window frame exclusion?,EXCLUDE CURRENT ROW is an example of Window frame exclusion.,,,,1,30,a hash join of two big tables,EXCLUDE CURRENT ROW,good for small inputs,coordinating a job
data_query,optimization,expert,What best describes Join order?,Join order - the sequence in which tables are joined.,,,,1,30,a plan that changes during execution,the sequence in which tables are joined,locking selected rows for a later update,reading values from JSON columns
data_query,advanced,expert,What best describes Full-text search?,Full-text search - indexed searching of natural-language text.,,,,3,30,an index holding all columns a query needs,collected data distributions guiding the optimiser,ignoring locked rows to process a queue,indexed searching of natural-language text
data_query,concurrency,expert,What best describes Isolation level?,Isolation level - how visible concurrent changes are to a query.,,,,3,30,locking selected rows for a later update,the optimiser's predicted work for a plan,reading a consistent point-in-time view,how visible concurrent changes are to a query
data_query,optimization,expert,Which of these is an example of Partition pruning?,reading only this year's data is an example of Partition pruning.,,,,0,30,reading only this year's data,reordering for fewer rows,a cached plan misfit,columnar batch execution
data_query,optimization,expert,Which term means: a plan tuned to the first parameter value?,That describes Parameter sniffing.,,,,2,30,Vectorised execution,SELECT FOR UPDATE,Parameter sniffing,Join order
data_query,concurrency,expert,Which term means: locking selected rows for a later update?,That describes SELECT FOR UPDATE.,,,,3,30,Pivoting with filter,Window frame exclusion,Recursive query,SELECT FOR UPDATE
data_query,optimization,expert,Which of these is an example of Hash join?,a hash join of two big tables is an example of Hash join.,,,,1,30,a cached plan misfit,a hash join of two big tables,estimated rows and cost,UNNEST(tags)
data_query,advanced,expert,Which of these is an example of Pivoting with filter?,SUM(...) FILTER per category is an example of Pivoting with filter.,,,,1,30,a parallel scan,SUM(...) FILTER per category,a large sort spilling,matching a search phrase
data_query,execution,expert,What best describes Vectorised execution?,Vectorised execution - processing batches of rows at once.,,,,0,30,processing batches of rows at once,ignoring locked rows to process a queue,the sequence in which tables are joined,locking selected rows for a later update
data_query,perf,expert,What best describes Expression index?,Expression index - an index on a computed expression.,,,,3,30,how visible concurrent changes are to a query,referencing a CTE multiple times in a query,collected data distributions guiding the optimiser,an index on a computed expression
data_query,advanced,expert,Which term means: referencing a CTE multiple times in a query?,That describes Common table reuse.,,,,0,30,Common table reuse,Plan cache,Merge join,Hash join
data_query,advanced,expert,Which of these is an example of Recursive query?,expanding a tree of parts is an example of Recursive query.,,,,1,30,joining a CTE to itself,expanding a tree of parts,switching join methods at runtime,an index WHERE active
data_query,execution,expert,Which term means: processing batches of rows at once?,That describes Vectorised execution.,,,,3,30,Snapshot isolation,Isolation level,Skip locked,Vectorised execution
data_query,concurrency,expert,What best describes SELECT FOR UPDATE?,SELECT FOR UPDATE - locking selected rows for a later update.,,,,0,30,locking selected rows for a later update,the optimiser's predicted work for a plan,collected data distributions guiding the optimiser,ignoring locked rows to process a queue
data_query,advanced,expert,What best describes JSON query?,JSON query - reading values from JSON columns.,,,,2,30,ignoring locked rows to process a queue,querying data as of a point in time,reading values from JSON columns,an index on a computed expression
data_query,optimization,expert,Which term means: skipping partitions that cannot match?,That describes Partition pruning.,,,,2,30,Isolation level,Query optimiser,Partition pruning,JSON query
data_query,advanced,expert,Which of these is an example of Array operations?,UNNEST(tags) is an example of Array operations.,,,,2,30,READ COMMITTED vs SERIALIZABLE,"scan, join, aggregate steps",UNNEST(tags),a cached plan misfit
data_query,optimization,expert,Which term means: joining two sorted inputs in one pass?,That describes Merge join.,,,,0,30,Merge join,Array operations,Common table reuse,Partition pruning
data_query,perf,expert,Which term means: an index on a computed expression?,That describes Expression index.,,,,1,30,Snapshot isolation,Expression index,Window frame exclusion,Partial index
data_query,optimization,expert,Which of these is an example of Cost estimate?,estimated rows and cost is an example of Cost estimate.,,,,0,30,estimated rows and cost,an index WHERE active,joining a CTE to itself,EXCLUDE CURRENT ROW
data_query,perf,expert,Which of these is an example of Covering index design?,avoiding table lookups is an example of Covering index design.,,,,0,30,avoiding table lookups,estimated rows and cost,data->>'name',picking a join algorithm
data_query,advanced,expert,Which term means: excluding certain rows from a window frame?,That describes Window frame exclusion.,,,,1,30,Covering index design,Window frame exclusion,Batch mode,Vectorised execution
data_query,optimization,expert,Which of these is an example of Query optimiser?,picking a join algorithm is an example of Query optimiser.,,,,3,30,reading only this year's data,matching a search phrase,a cached plan misfit,picking a join algorithm
data_query,advanced,expert,Which term means: a query that iterates over hierarchical data?,That describes Recursive query.,,,,3,30,Partition pruning,Snapshot isolation,Isolation level,Recursive query
data_query,advanced,expert,Which term means: building columns with filtered aggregates?,That describes Pivoting with filter.,,,,0,30,Pivoting with filter,Skip locked,Array operations,Common table reuse
data_query,concurrency,expert,Which of these is an example of Skip locked?,FOR UPDATE SKIP LOCKED is an example of Skip locked.,,,,3,30,histograms on a column,joining a CTE to itself,columnar batch execution,FOR UPDATE SKIP LOCKED
data_query,execution,expert,Which term means: executing operators over column batches?,That describes Batch mode.,,,,3,30,SELECT FOR UPDATE,Statistics,Pivoting with filter,Batch mode
data_query,execution,expert,Which of these is an example of Batch mode?,analytic batch processing is an example of Batch mode.,,,,1,30,SUM(...) FILTER per category,analytic batch processing,reading only this year's data,a cached plan misfit
data_query,advanced,expert,Which of these is an example of JSON query?,data->>'name' is an example of JSON query.,,,,3,30,a hash join of two big tables,joining a CTE to itself,coordinating a job,data->>'name'
data_query,perf,expert,What best describes Partial index?,Partial index - an index over only rows meeting a condition.,,,,1,30,executing operators over column batches,an index over only rows meeting a condition,indexed searching of natural-language text,a query that iterates over hierarchical data
data_query,advanced,expert,What best describes Recursive query?,Recursive query - a query that iterates over hierarchical data.,,,,3,30,building columns with filtered aggregates,skipping partitions that cannot match,writing intermediate data to disk when memory is exceeded,a query that iterates over hierarchical data
data_query,optimization,expert,What best describes Predicate pushdown?,Predicate pushdown - applying filters as early as possible.,,,,3,30,an index holding all columns a query needs,reading values from JSON columns,processing batches of rows at once,applying filters as early as possible
data_query,advanced,expert,Which of these is an example of Temporal query?,a system-versioned table is an example of Temporal query.,,,,3,30,expanding a tree of parts,EXCLUDE CURRENT ROW,data->>'name',a system-versioned table
data_query,perf,expert,Which term means: how well an index narrows the rows scanned?,That describes Index selectivity.,,,,0,30,Index selectivity,Join order,Covering index design,Parameter sniffing
data_query,optimization,expert,What best describes Plan cache?,Plan cache - reusing compiled plans to avoid re-planning.,,,,3,30,the sequence in which tables are joined,joining by building a hash table on one side,a plan tuned to the first parameter value,reusing compiled plans to avoid re-planning
data_query,concurrency,expert,Which of these is an example of Advisory lock?,coordinating a job is an example of Advisory lock.,,,,0,30,coordinating a job,MVCC-based reads,estimated rows and cost,reading only this year's data
data_query,optimization,expert,Which of these is an example of Join order?,reordering for fewer rows is an example of Join order.,,,,3,30,a large sort spilling,picking a join algorithm,columnar batch execution,reordering for fewer rows
data_query,concurrency,expert,Which of these is an example of Snapshot isolation?,MVCC-based reads is an example of Snapshot isolation.,,,,2,30,an index WHERE active,avoiding table lookups,MVCC-based reads,an index on LOWER(email)
data_query,optimization,expert,What best describes Statistics?,Statistics - collected data distributions guiding the optimiser.,,,,1,30,processing batches of rows at once,collected data distributions guiding the optimiser,an application-defined lock not tied to rows,splitting work across CPU workers
data_query,optimization,expert,Which term means: the optimiser's predicted work for a plan?,That describes Cost estimate.,,,,0,30,Cost estimate,Plan cache,Index selectivity,Adaptive plan
data_query,execution,expert,Which term means: the concrete operator tree run for a query?,That describes Execution plan.,,,,1,30,Skip locked,Execution plan,Nested loop join,Parameter sniffing
data_query,execution,expert,Which of these is an example of Adaptive plan?,switching join methods at runtime is an example of Adaptive plan.,,,,0,30,switching join methods at runtime,estimated rows and cost,an index on LOWER(email),avoiding table lookups
data_query,execution,expert,Which of these is an example of Parallel query?,a parallel scan is an example of Parallel query.,,,,0,30,a parallel scan,high selectivity on a unique key,FOR UPDATE SKIP LOCKED,a hash join of two big tables
data_query,concurrency,expert,What best describes Skip locked?,Skip locked - ignoring locked rows to process a queue.,,,,3,30,referencing a CTE multiple times in a query,reusing compiled plans to avoid re-planning,an index holding all columns a query needs,ignoring locked rows to process a queue
data_query,optimization,expert,Which term means: scanning the inner table for each outer row?,That describes Nested loop join.,,,,1,30,Isolation level,Nested loop join,Statistics,Batch mode
data_query,perf,expert,Which term means: an index holding all columns a query needs?,That describes Covering index design.,,,,0,30,Covering index design,Isolation level,Hash join,Snapshot isolation
data_query,execution,expert,Which term means: writing intermediate data to disk when memory is exceeded?,That describes Spill to disk.,,,,1,30,Temporal query,Spill to disk,JSON query,Nested loop join
data_query,advanced,expert,What best describes Common table reuse?,Common table reuse - referencing a CTE multiple times in a query.,,,,1,30,reusing compiled plans to avoid re-planning,referencing a CTE multiple times in a query,an application-defined lock not tied to rows,applying filters as early as possible
data_query,execution,expert,Which term means: splitting work across CPU workers?,That describes Parallel query.,,,,3,30,Window frame exclusion,Recursive query,Full-text search,Parallel query
data_query,execution,expert,What best describes Execution plan?,Execution plan - the concrete operator tree run for a query.,,,,3,30,a plan tuned to the first parameter value,how visible concurrent changes are to a query,applying filters as early as possible,the concrete operator tree run for a query
data_query,optimization,expert,What best describes Cost estimate?,Cost estimate - the optimiser's predicted work for a plan.,,,,3,30,querying and unnesting array columns,building columns with filtered aggregates,the component choosing how to execute a query,the optimiser's predicted work for a plan
data_query,execution,expert,What best describes Parallel query?,Parallel query - splitting work across CPU workers.,,,,2,30,querying data as of a point in time,querying and unnesting array columns,splitting work across CPU workers,reading a consistent point-in-time view
data_query,optimization,expert,What best describes Merge join?,Merge join - joining two sorted inputs in one pass.,,,,2,30,splitting work across CPU workers,joining by building a hash table on one side,joining two sorted inputs in one pass,referencing a CTE multiple times in a query
data_query,execution,expert,What best describes Adaptive plan?,Adaptive plan - a plan that changes during execution.,,,,3,30,a query that iterates over hierarchical data,locking selected rows for a later update,skipping partitions that cannot match,a plan that changes during execution
data_query,advanced,expert,Which term means: querying data as of a point in time?,That describes Temporal query.,,,,1,30,Full-text search,Temporal query,Spill to disk,Covering index design
data_query,advanced,expert,What best describes Temporal query?,Temporal query - querying data as of a point in time.,,,,2,30,joining two sorted inputs in one pass,excluding certain rows from a window frame,querying data as of a point in time,how well an index narrows the rows scanned
data_query,optimization,expert,What best describes Partition pruning?,Partition pruning - skipping partitions that cannot match.,,,,2,30,scanning the inner table for each outer row,a plan tuned to the first parameter value,skipping partitions that cannot match,the sequence in which tables are joined
data_query,optimization,expert,What best describes Query optimiser?,Query optimiser - the component choosing how to execute a query.,,,,2,30,excluding certain rows from a window frame,joining by building a hash table on one side,the component choosing how to execute a query,referencing a CTE multiple times in a query
data_query,optimization,expert,What best describes Parameter sniffing?,Parameter sniffing - a plan tuned to the first parameter value.,,,,2,30,excluding certain rows from a window frame,splitting work across CPU workers,a plan tuned to the first parameter value,the sequence in which tables are joined
data_query,optimization,expert,Which term means: collected data distributions guiding the optimiser?,That describes Statistics.,,,,1,30,Isolation level,Statistics,Covering index design,Query optimiser
data_query,perf,expert,What best describes Covering index design?,Covering index design - an index holding all columns a query needs.,,,,2,30,reading values from JSON columns,building columns with filtered aggregates,an index holding all columns a query needs,reading a consistent point-in-time view
data_query,optimization,expert,Which term means: the sequence in which tables are joined?,That describes Join order.,,,,1,30,Snapshot isolation,Join order,Common table reuse,Execution plan
data_query,concurrency,expert,Which term means: ignoring locked rows to process a queue?,That describes Skip locked.,,,,0,30,Skip locked,Window frame exclusion,Common table reuse,Cost estimate
data_query,perf,expert,Which term means: an index over only rows meeting a condition?,That describes Partial index.,,,,2,30,Partition pruning,Predicate pushdown,Partial index,Pivoting with filter
data_query,optimization,expert,Which of these is an example of Merge join?,a sort-merge join is an example of Merge join.,,,,3,30,joining a CTE to itself,filtering before a join,EXCLUDE CURRENT ROW,a sort-merge join
data_query,optimization,expert,Which of these is an example of Nested loop join?,good for small inputs is an example of Nested loop join.,,,,3,30,high selectivity on a unique key,MVCC-based reads,an index on LOWER(email),good for small inputs
data_query,concurrency,expert,Which term means: an application-defined lock not tied to rows?,That describes Advisory lock.,,,,2,30,Index selectivity,Vectorised execution,Advisory lock,JSON query
data_query,concurrency,expert,Which of these is an example of SELECT FOR UPDATE?,reserving rows in a transaction is an example of SELECT FOR UPDATE.,,,,3,30,filtering before a join,reading only this year's data,data->>'name',reserving rows in a transaction
data_query,perf,expert,What best describes Index selectivity?,Index selectivity - how well an index narrows the rows scanned.,,,,0,30,how well an index narrows the rows scanned,reusing compiled plans to avoid re-planning,splitting work across CPU workers,an application-defined lock not tied to rows
data_query,optimization,expert,Which of these is an example of Predicate pushdown?,filtering before a join is an example of Predicate pushdown.,,,,2,30,estimated rows and cost,a cached plan misfit,filtering before a join,picking a join algorithm
data_query,execution,expert,What best describes Spill to disk?,Spill to disk - writing intermediate data to disk when memory is exceeded.,,,,3,30,executing operators over column batches,joining two sorted inputs in one pass,an application-defined lock not tied to rows,writing intermediate data to disk when memory is exceeded
data_query,execution,expert,Which of these is an example of Execution plan?,"scan, join, aggregate steps is an example of Execution plan.",,,,2,30,a sort-merge join,matching a search phrase,"scan, join, aggregate steps",switching join methods at runtime
data_query,advanced,expert,Which of these is an example of Common table reuse?,joining a CTE to itself is an example of Common table reuse.,,,,0,30,joining a CTE to itself,SUM(...) FILTER per category,a sort-merge join,READ COMMITTED vs SERIALIZABLE
data_query,perf,expert,Which of these is an example of Partial index?,an index WHERE active is an example of Partial index.,,,,2,30,filtering before a join,a cached plan misfit,an index WHERE active,analytic batch processing
data_query,execution,expert,Which of these is an example of Vectorised execution?,columnar batch execution is an example of Vectorised execution.,,,,0,30,columnar batch execution,MVCC-based reads,picking a join algorithm,EXCLUDE CURRENT ROW
data_query,optimization,expert,What best describes Nested loop join?,Nested loop join - scanning the inner table for each outer row.,,,,3,30,the optimiser's predicted work for a plan,how well an index narrows the rows scanned,joining two sorted inputs in one pass,scanning the inner table for each outer row
data_query,optimization,expert,Which term means: joining by building a hash table on one side?,That describes Hash join.,,,,3,30,Plan cache,Array operations,Window frame exclusion,Hash join
data_query,perf,expert,Which of these is an example of Index selectivity?,high selectivity on a unique key is an example of Index selectivity.,,,,1,30,a cached plan misfit,high selectivity on a unique key,data->>'name',READ COMMITTED vs SERIALIZABLE
data_query,advanced,expert,What best describes Window frame exclusion?,Window frame exclusion - excluding certain rows from a window frame.,,,,2,30,a query that iterates over hierarchical data,applying filters as early as possible,excluding certain rows from a window frame,locking selected rows for a later update
data_query,optimization,expert,Which term means: reusing compiled plans to avoid re-planning?,That describes Plan cache.,,,,3,30,Advisory lock,Spill to disk,Array operations,Plan cache
data_query,optimization,expert,Which of these is an example of Parameter sniffing?,a cached plan misfit is an example of Parameter sniffing.,,,,2,30,MVCC-based reads,READ COMMITTED vs SERIALIZABLE,a cached plan misfit,high selectivity on a unique key
data_query,advanced,expert,What best describes Pivoting with filter?,Pivoting with filter - building columns with filtered aggregates.,,,,1,30,an index on a computed expression,building columns with filtered aggregates,reading a consistent point-in-time view,ignoring locked rows to process a queue
data_query,advanced,expert,Which term means: querying and unnesting array columns?,That describes Array operations.,,,,3,30,Spill to disk,Merge join,SELECT FOR UPDATE,Array operations
data_query,perf,expert,Which of these is an example of Expression index?,an index on LOWER(email) is an example of Expression index.,,,,1,30,analytic batch processing,an index on LOWER(email),READ COMMITTED vs SERIALIZABLE,EXCLUDE CURRENT ROW
data_query,concurrency,expert,Which term means: reading a consistent point-in-time view?,That describes Snapshot isolation.,,,,0,30,Snapshot isolation,Execution plan,Partition pruning,Statistics
data_query,concurrency,expert,Which term means: how visible concurrent changes are to a query?,That describes Isolation level.,,,,1,30,Covering index design,Isolation level,Adaptive plan,Recursive query
data_query,optimization,expert,Which term means: the component choosing how to execute a query?,That describes Query optimiser.,,,,1,30,Isolation level,Query optimiser,Window frame exclusion,Batch mode
data_query,advanced,expert,Which term means: indexed searching of natural-language text?,That describes Full-text search.,,,,2,30,SELECT FOR UPDATE,Pivoting with filter,Full-text search,Adaptive plan
data_query,concurrency,expert,What best describes Snapshot isolation?,Snapshot isolation - reading a consistent point-in-time view.,,,,2,30,an index on a computed expression,processing batches of rows at once,reading a consistent point-in-time view,locking selected rows for a later update
data_query,execution,expert,What best describes Batch mode?,Batch mode - executing operators over column batches.,,,,2,30,an index over only rows meeting a condition,processing batches of rows at once,executing operators over column batches,skipping partitions that cannot match
