domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
machine_learning,concepts,beginner,"What is machine learning, in one sentence?",Machine learning builds models that learn patterns from examples rather than being given explicit rules for every case.,,,,1,5,Any program that runs automatically without a user,Building models that learn patterns from data rather than following hand-written rules,Storing very large amounts of data efficiently,A faster way of writing ordinary computer programs
machine_learning,concepts,beginner,What is a feature in a machine learning dataset?,"A feature is one input variable describing each example, such as a houses floor area.",,,,0,5,An input variable describing each example,The answer the model is trying to predict,A bug in the training process,The name of the algorithm being used
machine_learning,concepts,beginner,What is the label in a supervised learning dataset?,"The label is the known correct answer attached to each training example, which the model learns to predict.",,,,2,5,The name of the dataset,A tag describing which algorithm to use,The known correct answer for each example,The row number of each example
machine_learning,concepts,beginner,What makes learning supervised?,Supervised learning trains on examples that already carry the correct answer.,,,,3,5,A human watches the training process,The model is checked by a second model,The data is collected manually,Every training example comes with a known correct answer
machine_learning,concepts,beginner,What makes learning unsupervised?,"Unsupervised learning works on data with no labels, looking for structure such as groups or patterns.",,,,0,5,"There are no labels, so the model looks for structure in the data",Nobody checks the results,The model trains without a computer,The data has no missing values
machine_learning,tasks,beginner,What kind of problem is predicting whether an email is spam or not spam?,Predicting which of a fixed set of categories something belongs to is classification.,,,,1,5,Regression,Classification,Clustering,Dimensionality reduction
machine_learning,tasks,beginner,What kind of problem is predicting the price of a house?,Predicting a continuous numeric value is regression.,,,,0,5,Regression,Classification,Clustering,Anomaly detection
machine_learning,tasks,beginner,What kind of problem is grouping customers into segments with no predefined categories?,"Discovering groups in unlabelled data is clustering, an unsupervised task.",,,,2,5,Regression,Classification,Clustering,Forecasting a label
machine_learning,tasks,beginner,What is the difference between classification and regression?,"Classification predicts a category, while regression predicts a continuous number.",,,,0,5,"Classification predicts a category, regression predicts a number","Classification predicts a number, regression predicts a category","Classification is supervised, regression is unsupervised",They are two names for the same task
machine_learning,tasks,beginner,Which of these is an unsupervised task?,Clustering finds structure without labels. The others all learn from known answers.,,,,3,5,Predicting tomorrows temperature from past weather,Deciding whether a transaction is fraudulent from labelled examples,Predicting exam scores from study hours,Grouping news articles by topic with no topics given in advance
machine_learning,data,beginner,What is a training set?,The training set is the portion of the data the model learns from.,,,,0,5,The data the model learns from,The data used to measure final performance,The data that was discarded as unusable,The list of settings used by the algorithm
machine_learning,data,beginner,What is a test set?,"The test set is data held back from training and used once, to estimate how the model will do on new data.",,,,1,5,Extra data added to make training faster,"Data held back from training, used to estimate performance on new data",The subset of features that matter most,A copy of the training data
machine_learning,data,beginner,Why must the test set be kept separate from training?,"A model can score well on data it has already seen, so testing on training data tells you nothing about new cases.",,,,2,5,To make training run faster,To reduce the size of the dataset,Because scoring on data the model has already seen says nothing about new data,Because test data is usually of poorer quality
machine_learning,data,beginner,What is a row in a typical machine learning dataset usually called?,"Each row is one example, also called an observation, instance or sample.",,,,0,5,"An example, or observation",A feature,A label,A parameter
machine_learning,data,beginner,What does it mean for a dataset to be labelled?,"A labelled dataset carries the correct answer for each example, which is what supervised learning needs.",,,,3,5,It has column names,It has been sorted into order,It has been checked for errors,Each example carries its correct answer
machine_learning,fitting,beginner,What is overfitting?,"An overfit model has learned the noise and quirks of the training data, so it does well there and badly on new data.",,,,1,5,The model is too simple to capture the pattern,The model has learned the training data too closely and generalises badly,The dataset has too many rows,The model takes too long to train
machine_learning,fitting,beginner,What is underfitting?,"An underfit model is too simple to capture the real pattern, so it performs poorly even on training data.",,,,0,5,The model is too simple and performs poorly even on training data,The model memorises the training data,The dataset has too few columns,The model was trained for too long
machine_learning,fitting,beginner,A model scores 99 percent on training data and 62 percent on unseen data. What is happening?,A large gap between training and unseen performance is the classic signature of overfitting.,Compare the two scores rather than looking at either alone.,,,1,5,Underfitting,Overfitting,The test set is too large,The model needs more features
machine_learning,fitting,beginner,A model scores 61 percent on training data and 60 percent on unseen data. What is happening?,"Poor performance on both sets, with little gap, points to a model too simple for the problem.",,,,2,5,Overfitting,The data leaked between the sets,Underfitting,The model is performing well
machine_learning,fitting,beginner,What does it mean for a model to generalise well?,"Generalising well means performing accurately on new data it has never seen, not just on its training examples.",,,,0,5,It performs well on new data it has never seen,It runs on many kinds of computer,It can be applied to any dataset without retraining,It uses very few features
machine_learning,evaluation,beginner,What does accuracy measure?,Accuracy is the share of predictions that were correct out of all predictions made.,,,,3,5,How close the predictions are to the average,How quickly the model produces a prediction,How many features the model uses,The share of predictions that were correct
machine_learning,evaluation,beginner,Why can a model with 99 percent accuracy still be useless?,"If 99 percent of cases are one class, always guessing that class scores 99 percent while never catching the cases you care about.",Think about what always guessing the common answer would score.,,,0,5,"If one class is very rare, always guessing the common class scores highly while catching nothing",Accuracy above 95 percent is always a calculation error,Accuracy cannot be measured on a test set,Because accuracy ignores the training data
machine_learning,evaluation,beginner,What is a baseline in model evaluation?,"A baseline is a deliberately simple reference, such as always predicting the most common class, that a real model must beat.",,,,1,5,The lowest score the model reached during training,A simple reference result the real model must beat,The first row of the dataset,The score on the training set
machine_learning,process,beginner,Roughly what order do the steps of a machine learning project take?,"You gather and prepare the data, split it, train on the training portion, then evaluate on held-out data.",,,,2,5,"Train, gather data, evaluate, split","Evaluate, train, gather data, split","Gather and prepare data, split it, train, evaluate","Split, evaluate, gather data, train"
machine_learning,process,beginner,Why is data preparation usually the largest part of a project?,"Real data arrives messy, inconsistent and incomplete, and models can only be as good as the data they are given.",,,,0,5,"Real data is messy and incomplete, and model quality depends on it",Because algorithms take only seconds to write,Because datasets must always be sorted first,Because preparation must be redone for every prediction
machine_learning,data,beginner,What is a common problem with missing values in a dataset?,"Many algorithms cannot handle gaps, and how you fill them can bias the result, so missing data must be handled deliberately.",,,,1,5,They make the file larger,"Many algorithms cannot handle them, and filling them carelessly biases results",They always mean the row is invalid,They prevent the data from being sorted
