domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
marketing,segmentation,easy,Which type of segmentation divides consumers by age - income - and gender?,Demographic segmentation uses measurable population characteristics like age - income - gender - education level - and family size to divide the market.,,,,0,10,Demographic segmentation,Psychographic segmentation,Geographic segmentation,Behavioral segmentation
marketing,product-lifecycle,easy,At which stage of the product lifecycle does competition tend to be highest?,Competition is highest during the Maturity stage because many competitors have entered the market and sales growth has leveled off.,,,,1,10,Introduction,Maturity,Growth,Decline
marketing,pricing-strategy,easy,A company sets its price just below a round number (e.g. \$9.99 instead of \$10). This is an example of:,Psychological pricing (also called charm pricing) exploits the consumer tendency to perceive \$9.99 as significantly less than \$10.,,,,2,10,Cost-plus pricing,Competitive pricing,Psychological pricing,Premium pricing
marketing,4ps,easy,A company decides to sell its product exclusively through its own website. This is a decision about which element of the marketing mix?,Selling exclusively through a company's own website is a distribution/Place decision - part of the marketing mix.,,,,3,10,Product,Price,Promotion,Place
marketing,branding,easy,What is the difference between a brand name and a trademark?,A brand name is the spoken part of the brand identity. A trademark is a legally registered brand name or symbol that gives the owner exclusive rights.,,,,0,10,A brand name is the spoken identifier; a trademark is the legally protected version,A trademark is used informally; a brand name is registered with the government,A brand name is only used in advertising; a trademark is used on packaging,There is no difference; both terms mean the same thing
marketing,digital-marketing,easy,Which digital marketing metric measures the percentage of website visitors who leave after viewing only one page?,Bounce rate measures the percentage of visitors who navigate away from the site after viewing only one page without further interaction.,,,,1,10,Click-through rate,Bounce rate,Conversion rate,Impressions
marketing,consumer-behavior,easy,Maslow's hierarchy of needs arranges needs from most basic to highest. Which level comes immediately after physiological needs?,According to Maslow - after physiological needs (food - water - shelter) are met - safety needs (security - stability) are the next priority.,,,,2,10,Self-actualization,Esteem needs,Safety needs,Social needs
marketing,market-research,easy,Which research method is best suited for gathering in-depth qualitative insights from a small group of consumers?,Focus groups are ideal for gathering in-depth qualitative insights - allowing a moderator to explore attitudes - opinions - and motivations in a group setting.,,,,3,10,Large-scale online surveys,Analysis of secondary government data,Retail sales tracking,Focus groups with a trained moderator
marketing,promotion-mix,easy,Which element of the promotion mix involves a sales representative personally meeting with a prospective customer?,Personal selling involves direct face-to-face interaction between a sales representative and a potential customer to persuade them to buy.,,,,0,10,Personal selling,Advertising,Public relations,Direct mail
marketing,distribution-channels,easy,What is the role of a wholesaler in a distribution channel?,A wholesaler buys large quantities of goods from manufacturers and sells them in smaller quantities to retailers - acting as an intermediary.,,,,1,10,Selling directly to end consumers,Buying from manufacturers and selling to retailers in smaller quantities,Manufacturing goods for retailers to sell,Advertising products on behalf of manufacturers
marketing,ansoff-matrix,easy,A company sells its existing product to new geographic markets. Which Ansoff strategy does this represent?,Market development involves taking an existing product into new markets (e.g. new geographic regions or new customer segments).,,,,2,10,Market penetration,Diversification,Market development,Product development
marketing,swot,easy,In a SWOT analysis - which category would 'a new competitor entering the market' fall into?,A new competitor entering the market is an external factor that could negatively affect the business - making it a Threat.,,,,3,10,Strength,Weakness,Opportunity,Threat
